operator,arch,lr,batch_size,activation,test_mse,rel_error
S_internal6,"(64, 32)",0.01,64,relu,6.202051119493666e-05,0.001301752124911757
S_internal6,"(64, 32)",0.01,32,relu,0.00010182083116079512,0.0013215045034016732
S_internal6,"(64, 32)",0.01,32,silu,7.94497766795151e-05,0.004548187449463366
S_internal6,"(64, 32)",0.01,64,silu,3.1693860546511135e-05,0.0015799675392494206
S_internal6,"(64, 32)",0.001,64,silu,2.3054951244855854e-05,0.0018028511861211927
S_internal6,"(64, 32)",0.001,32,relu,2.8557238384665755e-05,0.0006963475131249941
S_internal6,"(64, 32)",0.001,32,silu,2.660601142818248e-05,0.0022753269880598334
S_internal6,"(64, 32)",0.001,64,relu,4.778895906585805e-05,0.0007882717364497002
S_internal6,"(64, 128, 64, 32)",0.01,32,silu,0.004655156071789355,0.04110208098966524
S_internal6,"(64, 128, 64, 32)",0.01,32,relu,0.00026576864962508907,0.004004479798642911
S_internal6,"(64, 128, 64, 32)",0.01,64,silu,0.00028355192140831303,0.007331096067281927
S_internal6,"(64, 128, 64, 32)",0.001,32,relu,3.268130842318189e-05,0.0019253934875168674
S_internal6,"(64, 128, 64, 32)",0.001,32,silu,2.250529847363699e-05,0.0020639532087712033
S_internal6,"(64, 128, 64, 32)",0.01,64,relu,9.818936757963255e-05,0.003194074307980048
S_internal6,"(64, 128, 64, 32)",0.001,64,relu,3.0733510458149896e-05,0.0016284755727048298
S_internal6,"(64, 128, 64, 32)",0.001,64,silu,3.021655038537574e-05,0.0020047630730409523
S_internal6,"(128, 128, 128)",0.01,64,silu,0.00015073553044607656,0.005823146233958746
S_internal6,"(128, 128, 128)",0.01,32,silu,2.892493341985553e-05,0.00208186756188623
S_internal6,"(128, 128, 128)",0.01,64,relu,5.5561604709611045e-05,0.0017752109004140777
S_internal6,"(128, 128, 128)",0.001,32,silu,1.7084634348268285e-05,0.0013498437431435696
S_internal6,"(128, 128, 128)",0.001,32,relu,2.033216714810098e-05,0.001590235151477023
S_internal6,"(128, 128, 128)",0.001,64,silu,1.343565485917174e-05,0.0012596658728159316
S_internal6,"(128, 128, 128)",0.001,64,relu,2.077570395108018e-05,0.001944329478592456
S_boundary6,"(64, 32)",0.01,64,silu,3.1645083879539014e-06,0.0010997783328619039
S_boundary6,"(64, 32)",0.01,32,silu,8.945140710433666e-06,0.0019720792856342865
S_internal6,"(128, 128, 128)",0.01,32,relu,0.00014998947610567686,0.0028872191375375685
S_boundary6,"(64, 32)",0.01,64,relu,8.823577942556376e-06,0.0014447100102222014
S_boundary6,"(64, 32)",0.01,32,relu,4.1482772472331164e-05,0.0042199029511202635
S_boundary6,"(64, 32)",0.001,64,silu,1.058829491934635e-05,0.0020868374353151175
S_boundary6,"(64, 32)",0.001,32,silu,1.0714574066079357e-05,0.0019640088603239663
S_boundary6,"(64, 32)",0.001,64,relu,1.5042389730167217e-05,0.002147201378872288
S_boundary6,"(64, 128, 64, 32)",0.01,32,silu,0.00566834257915616,0.05675667158625423
S_boundary6,"(64, 128, 64, 32)",0.01,32,relu,3.134815583507589e-05,0.003926248086639449
S_boundary6,"(64, 128, 64, 32)",0.01,64,silu,5.239891852397705e-05,0.0057640320319878625
S_boundary6,"(64, 128, 64, 32)",0.01,64,relu,1.4935807738376233e-05,0.0027144647627085974
S_boundary6,"(64, 32)",0.001,32,relu,8.008630363016371e-06,0.0014170913894080216
S_boundary6,"(64, 128, 64, 32)",0.001,64,silu,8.003960350119346e-06,0.0019389481827615442
S_boundary6,"(64, 128, 64, 32)",0.001,32,silu,7.045804347935051e-06,0.0017223044275942415
S_boundary6,"(128, 128, 128)",0.01,32,silu,0.00038538750155307105,0.013755664498877976
S_boundary6,"(128, 128, 128)",0.01,32,relu,2.6590723049529126e-05,0.0027584354877705193
S_boundary6,"(64, 128, 64, 32)",0.001,32,relu,1.2674313131810777e-05,0.001907476366520149
S_boundary6,"(64, 128, 64, 32)",0.001,64,relu,1.3922793888403769e-05,0.0021235158367700255
S_boundary6,"(128, 128, 128)",0.01,64,silu,1.2108544509763824e-05,0.0026349971695146766
S_boundary6,"(128, 128, 128)",0.01,64,relu,2.136855047995466e-05,0.0031760772170902904
S_boundary6,"(128, 128, 128)",0.001,64,silu,4.282548536187797e-06,0.0011006737987105332
S_boundary6,"(128, 128, 128)",0.001,64,relu,9.533089473734435e-06,0.0020111572164867946
S_boundary6,"(128, 128, 128)",0.001,32,silu,3.7458537605061792e-06,0.0011046761787794734
F_internal6_bottom,"(64, 32)",0.01,32,silu,0.00024564413428639195,0.008832445981220056
S_boundary6,"(128, 128, 128)",0.001,32,relu,1.0197422065922572e-05,0.0019402220482514926
F_internal6_bottom,"(64, 32)",0.01,32,relu,0.0006465036945623329,0.01081275915826978
F_internal6_bottom,"(64, 32)",0.01,64,silu,0.00011541710221406123,0.005964281370864038
F_internal6_bottom,"(64, 32)",0.01,64,relu,0.00036386097874908176,0.0043683220098179225
F_internal6_bottom,"(64, 32)",0.001,64,relu,0.00013337260827808807,0.004534924331602922
F_internal6_bottom,"(64, 32)",0.001,64,silu,9.691510042882457e-05,0.005319444162605287
F_internal6_bottom,"(64, 32)",0.001,32,relu,0.00012002571165794506,0.005074141751862175
F_internal6_bottom,"(64, 128, 64, 32)",0.01,64,silu,0.00019306189473614462,0.010068539430842937
F_internal6_bottom,"(64, 128, 64, 32)",0.01,32,silu,0.014742610540270106,0.0887842611625818
F_internal6_bottom,"(64, 128, 64, 32)",0.01,64,relu,0.00025627165007660683,0.009872520416986469
F_internal6_bottom,"(64, 32)",0.001,32,silu,6.183492353914386e-05,0.00393692448650229
F_internal6_bottom,"(64, 128, 64, 32)",0.01,32,relu,0.00044770139972700107,0.006165223789255018
F_internal6_bottom,"(64, 128, 64, 32)",0.001,32,silu,2.6232149145601267e-05,0.0030171300282151826
F_internal6_bottom,"(64, 128, 64, 32)",0.001,32,relu,7.282452575217187e-05,0.005282176817316927
F_internal6_bottom,"(128, 128, 128)",0.01,32,silu,8.393159410096425e-05,0.004570985190278998
F_internal6_bottom,"(64, 128, 64, 32)",0.001,64,relu,7.39008750575262e-05,0.005691941245373473
F_internal6_bottom,"(128, 128, 128)",0.01,64,silu,0.0001228313704424571,0.006480586505555636
F_internal6_bottom,"(128, 128, 128)",0.01,32,relu,0.00046820310709725683,0.005421222121222798
F_internal6_bottom,"(64, 128, 64, 32)",0.001,64,silu,3.1819972582525226e-05,0.0037152392023672137
