model,swap_block,base_idx,donor_idx,input_rel_change,output_coeff_rel_change,output_field_rel_change
solution_internal8modified,f_sub,4898,4697,2.417880082064616,0.006054068,0.001560240303289628
solution_internal8modified,f_sub,4898,4673,2.180083571120399,0.008671961,0.002234917395657112
solution_internal8modified,f_sub,4898,432,2.4253056622525957,0.016608119,0.004280206056324182
solution_internal8modified,f_sub,4898,1006,1.9384636163582942,0.015065603,0.0038826723068881115
solution_internal8modified,f_sub,4898,4196,2.199788573109947,0.015983686,0.004119278325684379
solution_internal8modified,f_sub,4898,1766,0.519827478421487,0.0038427545,0.0009903457418308107
solution_internal8modified,f_sub,4898,5383,1.0514547319941738,0.0058148555,0.0014985910383101104
solution_internal8modified,f_sub,4898,94,0.9631546062479324,0.008693491,0.002240466092252729
solution_internal8modified,f_sub,4898,3636,2.3803440326819683,0.015627181,0.004027400578254123
solution_internal8modified,f_sub,4898,5247,0.7800374886460171,0.012470351,0.0032138295663094473
solution_internal8modified,f_sub,4898,1596,0.8899746033744086,0.0063265637,0.0016304671683154833
solution_internal8modified,f_sub,4898,235,1.5741173398628594,0.012324144,0.003176149620078624
solution_internal8modified,f_sub,4898,3127,0.6896263769004607,0.010782069,0.0027787296412693013
solution_internal8modified,f_sub,4898,3487,1.8227354006237666,0.005493462,0.0014157622235149334
solution_internal8modified,f_sub,4898,5583,2.045457908736946,0.010202684,0.0026294121166015386
solution_internal8modified,f_sub,4898,3863,1.6214517020981696,0.011899761,0.003066778840434304
solution_internal8modified,f_sub,4898,2894,1.5038336566296688,0.0098341275,0.002534428452475413
solution_internal8modified,f_sub,4898,3221,1.6134553367787055,0.0113603985,0.00292777533568219
solution_internal8modified,f_sub,4898,3732,1.8398002051788653,0.0040959665,0.0010556029003181725
solution_internal8modified,f_sub,4898,1548,0.12483161884172708,0.0021645962,0.0005578546953538745
solution_internal8modified,f_sub,3668,4697,3.2880351152499836,0.009510061,0.001815805562992115
solution_internal8modified,f_sub,3668,4673,3.1109345307081058,0.013694536,0.002614769024971459
solution_internal8modified,f_sub,3668,432,0.041390857722363096,0.0007188663,0.00013725688619390064
solution_internal8modified,f_sub,3668,1006,0.32223818655554404,0.0010020024,0.0001913175219128181
solution_internal8modified,f_sub,3668,4196,0.1387174640162163,0.00040061184,7.649090502109689e-05
solution_internal8modified,f_sub,3668,1766,1.3359389083005617,0.006153379,0.0011748966666407783
solution_internal8modified,f_sub,3668,5383,0.945048385808491,0.0036342498,0.000693906288435547
solution_internal8modified,f_sub,3668,94,1.034412297125201,0.0015332553,0.0002927524200080261
solution_internal8modified,f_sub,3668,3636,0.026001996057868515,0.0012290932,0.00023467715731030744
solution_internal8modified,f_sub,3668,5247,1.3061610629328528,0.006139245,0.0011721980696791675
solution_internal8modified,f_sub,3668,1596,1.0568695902107519,0.002503643,0.00047803363105400673
solution_internal8modified,f_sub,3668,235,0.576918956455232,0.0012953689,0.0002473315197491969
solution_internal8modified,f_sub,3668,3127,1.3198077478154835,0.0047724154,0.0009112221763480819
solution_internal8modified,f_sub,3668,3487,2.924643208673407,0.00452193,0.0008633956774119688
solution_internal8modified,f_sub,3668,5583,0.3402028309993534,0.0026132455,0.0004989605639792084
solution_internal8modified,f_sub,3668,3863,0.563089268207357,0.0009030362,0.0001724214091249135
solution_internal8modified,f_sub,3668,2894,0.625533477804217,0.0023643796,0.00045144329406334707
solution_internal8modified,f_sub,3668,3221,0.6077251934798575,0.0024851342,0.00047449961915156864
solution_internal8modified,f_sub,3668,3732,2.924568268575307,0.004388853,0.0008379866187410949
solution_internal8modified,f_sub,3668,1548,1.6809049682473165,0.002844581,0.0005431306211058565
solution_internal8modified,u,4898,4697,9.309395179482555,11.135724,2.8698729836209536
solution_internal8modified,u,4898,4673,7.6224055243181565,8.774221,2.261271917792906
solution_internal8modified,u,4898,432,1.8038878586356397,2.057515,0.5302579724947599
solution_internal8modified,u,4898,1006,2.331392261652273,2.5588946,0.6594723382790412
solution_internal8modified,u,4898,4196,2.568849097045705,2.9951417,0.7719009157181536
solution_internal8modified,u,4898,1766,2.128893330601155,2.50048,0.6444178229847356
solution_internal8modified,u,4898,5383,4.159093335211404,4.9925914,1.286678959588085
solution_internal8modified,u,4898,94,1.4511239904692208,1.4969363,0.38578694086093157
solution_internal8modified,u,4898,3636,2.408559924880004,2.8515208,0.7348872208938232
solution_internal8modified,u,4898,5247,5.200399087975359,6.2567067,1.6124637491393554
solution_internal8modified,u,4898,1596,2.8050068201283413,3.0606306,0.7887785966048018
solution_internal8modified,u,4898,235,1.2804002158774659,1.0091604,0.2600784574212583
solution_internal8modified,u,4898,3127,1.7361806793065695,1.4236103,0.36688954750418523
solution_internal8modified,u,4898,3487,2.581036877964962,2.9052794,0.7487418114015607
solution_internal8modified,u,4898,5583,2.098609062378247,2.5237546,0.6504161094675739
solution_internal8modified,u,4898,3863,2.1870473588714554,2.4889877,0.641456094268986
solution_internal8modified,u,4898,2894,0.7988444300080552,0.7623267,0.19646507013742556
solution_internal8modified,u,4898,3221,1.2658846950675828,0.97296107,0.25074925447560353
solution_internal8modified,u,4898,3732,2.542537243092088,2.8867304,0.7439613616391373
solution_internal8modified,u,4898,1548,0.9790362087557621,0.7750806,0.1997519789643444
solution_internal8modified,u,3668,4697,6.3621577554888,9.524223,1.818509528736138
solution_internal8modified,u,3668,4673,4.792955801674787,7.0311813,1.3425000047030446
solution_internal8modified,u,3668,432,1.5071756628643964,1.5397009,0.29398310795691124
solution_internal8modified,u,3668,1006,2.3713681275661576,3.8094733,0.7273625516549952
solution_internal8modified,u,3668,4196,2.7606895241132743,4.372727,0.8349074976861647
solution_internal8modified,u,3668,1766,2.557452862339687,3.9662802,0.7573025195863133
solution_internal8modified,u,3668,5383,2.5279621007678137,3.5795767,0.6834672231276647
solution_internal8modified,u,3668,94,0.553808259031473,0.5469483,0.10443169133251551
solution_internal8modified,u,3668,3636,2.7716504690917128,4.3148036,0.823847969416447
solution_internal8modified,u,3668,5247,3.023998670777877,4.6120963,0.8806115394945716
solution_internal8modified,u,3668,1596,1.659505835865086,1.8849918,0.35991130227398577
solution_internal8modified,u,3668,235,1.2586808710248902,1.8823782,0.3594122536522834
solution_internal8modified,u,3668,3127,0.7122003208070958,0.9903706,0.18909660590305002
solution_internal8modified,u,3668,3487,2.6313986851105624,4.1989055,0.8017189398290223
solution_internal8modified,u,3668,5583,2.5732058015481627,4.013556,0.7663291564709515
solution_internal8modified,u,3668,3863,2.4138890674684332,3.8398876,0.7331697428139109
solution_internal8modified,u,3668,2894,1.0838009678331764,1.2895833,0.24622686001699876
solution_internal8modified,u,3668,3221,1.193826109709921,1.6016092,0.30580359841018806
