model,swap_block,base_idx,donor_idx,input_rel_change,output_coeff_rel_change,output_field_rel_change
flux_boundary8_bottom,f_sub,3809,3653,8.024625202977434,0.028924547,0.02561611253342006
flux_boundary8_bottom,f_sub,3809,3632,2.4370852356941994,0.0042625694,0.003775009970738422
flux_boundary8_bottom,f_sub,3809,335,3.3568897422138138,0.003087873,0.0027346773891295598
flux_boundary8_bottom,f_sub,3809,782,2.0440864651139408,0.0072751106,0.006442971817314534
flux_boundary8_bottom,f_sub,3809,3262,2.3426085377065813,0.0033771424,0.0029908596286718245
flux_boundary8_bottom,f_sub,3809,1372,2.892503840185796,0.0015948327,0.0014124132593945138
flux_boundary8_bottom,f_sub,3809,4186,1.9237858138773374,0.00030041943,0.00026605696314013717
flux_boundary8_bottom,f_sub,3809,73,2.692149228737177,0.009284557,0.008222574181034443
flux_boundary8_bottom,f_sub,3809,2827,3.371155080763565,0.0027564676,0.0024411783789047145
flux_boundary8_bottom,f_sub,3809,4079,2.5590249300448145,0.010304042,0.009125449749236876
flux_boundary8_bottom,f_sub,3809,1241,6.45074536964374,0.009952877,0.00881445093390292
flux_boundary8_bottom,f_sub,3809,182,1.4828906372316757,0.0026281904,0.002327573819821845
flux_boundary8_bottom,f_sub,3809,2431,1.6361824390926092,0.021432208,0.018980758551663923
flux_boundary8_bottom,f_sub,3809,2711,10.362279477752871,0.036885854,0.03266679127749187
flux_boundary8_bottom,f_sub,3809,4341,2.383032585427866,0.014923851,0.013216837427439865
flux_boundary8_bottom,f_sub,3809,3005,1.5461707289154771,0.0009481382,0.0008396886490124571
flux_boundary8_bottom,f_sub,3809,2250,2.921060339306955,0.0023659447,0.0020953241357352767
flux_boundary8_bottom,f_sub,3809,2505,1.806585623069235,0.0021173288,0.0018751454121324377
flux_boundary8_bottom,f_sub,3809,2901,3.3085059720218917,0.0031648753,0.00280287200020784
flux_boundary8_bottom,f_sub,3809,1202,1.1055656401260145,0.017775316,0.01574214785942864
flux_boundary8_bottom,f_sub,2853,3653,2.887006396551128,0.020578722,0.03213466784085994
flux_boundary8_bottom,f_sub,2853,3632,1.4168778516050236,0.0050879903,0.007945142886535514
flux_boundary8_bottom,f_sub,2853,335,0.0998936400641942,0.0007317327,0.0011426359439398969
flux_boundary8_bottom,f_sub,2853,782,0.2834302684749182,0.0014531024,0.0022690897226183555
flux_boundary8_bottom,f_sub,2853,3262,0.1881316425061867,0.001241691,0.001938960415132418
flux_boundary8_bottom,f_sub,2853,1372,0.06824938665341554,0.0010119571,0.0015802197838056637
flux_boundary8_bottom,f_sub,2853,4186,0.2978324282485931,0.00087244663,0.0013623675161097556
flux_boundary8_bottom,f_sub,2853,73,1.4801026170933314,0.0049325656,0.0077024392928799375
flux_boundary8_bottom,f_sub,2853,2827,0.10426104377735243,0.0006394795,0.0009985780858114866
flux_boundary8_bottom,f_sub,2853,4079,0.16863528745936895,0.0015983193,0.002495852605198277
flux_boundary8_bottom,f_sub,2853,1241,2.5114362088847915,0.007838729,0.012240554048037984
flux_boundary8_bottom,f_sub,2853,182,0.4216691134873609,0.000784309,0.0012247363432713757
flux_boundary8_bottom,f_sub,2853,2431,1.0923759862181015,0.0032031809,0.0050019218160499155
flux_boundary8_bottom,f_sub,2853,2711,3.5420440717763855,0.009778717,0.015269937208730175
flux_boundary8_bottom,f_sub,2853,4341,1.3298703916865025,0.011172913,0.017447042898458064
flux_boundary8_bottom,f_sub,2853,3005,0.4516436951538541,0.0036774399,0.005742499567433555
flux_boundary8_bottom,f_sub,2853,2250,0.058387191499074204,0.0014954557,0.0023352263923648677
flux_boundary8_bottom,f_sub,2853,2505,0.43189688639371415,0.0061701257,0.009634949597972424
flux_boundary8_bottom,f_sub,2853,2901,0.08958781613036379,0.0006358312,0.0009928811545024193
flux_boundary8_bottom,f_sub,2853,1202,0.8054960174536664,0.0027416036,0.004281146677626197
