model,swap_block,base_idx,donor_idx,input_rel_change,output_coeff_rel_change,output_field_rel_change
flux_boundary8_hyperpara_left,u,3809,3653,1.257686662290389,10.533202,2.765442627289718
flux_boundary8_hyperpara_left,u,3809,3632,1.4080220909536683,3.1902783,0.8375925279316672
flux_boundary8_hyperpara_left,u,3809,335,1.4080186112677893,3.4653125,0.9098014584994508
flux_boundary8_hyperpara_left,u,3809,782,1.4224131590688822,3.7482011,0.9840724481742289
flux_boundary8_hyperpara_left,u,3809,3262,1.1643353388699993,3.4621458,0.9089700273407109
flux_boundary8_hyperpara_left,u,3809,1372,0.8225641278321445,3.5814822,0.9403011254343157
flux_boundary8_hyperpara_left,u,3809,4186,1.1545650614567828,2.5826163,0.678053669354002
flux_boundary8_hyperpara_left,u,3809,73,1.1485149253352582,2.3572154,0.6188757814429761
flux_boundary8_hyperpara_left,u,3809,2827,1.408448296610703,3.3218365,0.8721325548343926
flux_boundary8_hyperpara_left,u,3809,4079,1.1481796001403708,2.4971244,0.6556082277623428
flux_boundary8_hyperpara_left,u,3809,1241,1.1560807530998127,3.6794722,0.9660279795629828
flux_boundary8_hyperpara_left,u,3809,182,1.1546087870650383,2.2835906,0.5995459206950727
flux_boundary8_hyperpara_left,u,3809,2431,1.4080320152501036,3.264274,0.8570197572262159
flux_boundary8_hyperpara_left,u,3809,2711,1.4203117882841447,3.7462568,0.9835619772870713
flux_boundary8_hyperpara_left,u,3809,4341,0.09889225857781697,3.078904,0.8083516706781027
flux_boundary8_hyperpara_left,u,3809,3005,1.1564657188688217,3.0647087,0.8046248632305129
flux_boundary8_hyperpara_left,u,3809,2250,1.1578338200647955,2.388081,0.6269794354418308
flux_boundary8_hyperpara_left,u,3809,2505,1.1500968362924615,2.4978602,0.6558013729904548
flux_boundary8_hyperpara_left,u,3809,2901,1.150740597190051,3.242206,0.8512258854144414
flux_boundary8_hyperpara_left,u,3809,1202,1.4119511118829442,3.7504807,0.9846710105017616
flux_boundary8_hyperpara_left,u,2853,3653,1.2414546505742636,2.932659,74.07455422745956
flux_boundary8_hyperpara_left,u,2853,3632,0.8241615593570485,0.13888419,3.508005785832246
flux_boundary8_hyperpara_left,u,2853,335,0.8189919361181501,0.13510397,3.4125232360709195
flux_boundary8_hyperpara_left,u,2853,782,0.10211732835129457,0.029355891,0.7414856897582406
flux_boundary8_hyperpara_left,u,2853,3262,1.1613223634572156,0.06703875,1.6932980093234864
flux_boundary8_hyperpara_left,u,2853,1372,1.4199701816196755,0.03935987,0.994171226993129
flux_boundary8_hyperpara_left,u,2853,4186,1.1546145359698143,1.2246171,30.93198745212745
flux_boundary8_hyperpara_left,u,2853,73,1.1533412319295224,0.7182646,18.14228232043131
flux_boundary8_hyperpara_left,u,2853,2827,0.8183553853255099,0.17372201,4.387957028090465
flux_boundary8_hyperpara_left,u,2853,4079,1.1547007787186858,0.8196057,20.70200748377992
flux_boundary8_hyperpara_left,u,2853,1241,1.1521595775159916,1.263168,31.905725333002163
flux_boundary8_hyperpara_left,u,2853,182,1.1535685363472823,0.37826037,9.554288784335151
flux_boundary8_hyperpara_left,u,2853,2431,0.10935530457701968,0.08804042,2.223768475654391
flux_boundary8_hyperpara_left,u,2853,2711,0.09648464570379821,0.030437835,0.7688139338594188
flux_boundary8_hyperpara_left,u,2853,4341,1.428498019340372,0.1294926,3.270788507319618
flux_boundary8_hyperpara_left,u,2853,3005,1.1643368617910972,0.19810307,5.003786002803502
flux_boundary8_hyperpara_left,u,2853,2250,1.15406683244496,0.34942046,8.825835492317331
flux_boundary8_hyperpara_left,u,2853,2505,1.1528443783699978,0.6904728,17.44030641374835
flux_boundary8_hyperpara_left,u,2853,2901,1.1606376020699498,0.15140906,3.824365366110813
flux_boundary8_hyperpara_left,u,2853,1202,0.015606882240857484,0.028074933,0.7091306595779598
