model,swap_block,base_idx,donor_idx,input_rel_change,output_coeff_rel_change,output_field_rel_change
flux_boundary8_hyperpara_top,u,3809,3653,1.257686662290389,6.1797686,12.14463764858022
flux_boundary8_hyperpara_top,u,3809,3632,1.4080220909536683,0.6229201,1.2241783530882269
flux_boundary8_hyperpara_top,u,3809,335,1.4080186112677893,1.6727298,3.287291089562678
flux_boundary8_hyperpara_top,u,3809,782,1.4224131590688822,0.48519006,0.9535078418332088
flux_boundary8_hyperpara_top,u,3809,3262,1.1643353388699993,0.3862538,0.7590757563389504
flux_boundary8_hyperpara_top,u,3809,1372,0.8225641278321445,0.36900595,0.7251798537550969
flux_boundary8_hyperpara_top,u,3809,4186,1.1545650614567828,0.34047896,0.6691179046790247
flux_boundary8_hyperpara_top,u,3809,73,1.1485149253352582,1.7484634,3.436124497262281
flux_boundary8_hyperpara_top,u,3809,2827,1.408448296610703,1.531285,3.0093201759950206
flux_boundary8_hyperpara_top,u,3809,4079,1.1481796001403708,2.0195663,3.9689031402407795
flux_boundary8_hyperpara_top,u,3809,1241,1.1560807530998127,2.177531,4.279338870664314
flux_boundary8_hyperpara_top,u,3809,182,1.1546087870650383,0.39034083,0.7671076613379196
flux_boundary8_hyperpara_top,u,3809,2431,1.4080320152501036,1.3748729,2.7019351106812715
flux_boundary8_hyperpara_top,u,3809,2711,1.4203117882841447,0.47235233,0.9282787771423631
flux_boundary8_hyperpara_top,u,3809,4341,0.09889225857781697,0.4766595,0.9367433193325673
flux_boundary8_hyperpara_top,u,3809,3005,1.1564657188688217,0.21592525,0.42434174825080817
flux_boundary8_hyperpara_top,u,3809,2250,1.1578338200647955,0.38116097,0.7490672269461731
flux_boundary8_hyperpara_top,u,3809,2505,1.1500968362924615,1.1566445,2.2730669982423284
flux_boundary8_hyperpara_top,u,3809,2901,1.150740597190051,0.5982939,1.1757822878776456
flux_boundary8_hyperpara_top,u,3809,1202,1.4119511118829442,1.0340217,2.032085699265668
flux_boundary8_hyperpara_top,u,2853,3653,1.2414546505742636,7.858204,5.663066651074158
flux_boundary8_hyperpara_top,u,2853,3632,0.8241615593570485,0.42882147,0.3090330266851212
flux_boundary8_hyperpara_top,u,2853,335,0.8189919361181501,1.1351256,0.8180358268734799
flux_boundary8_hyperpara_top,u,2853,782,0.10211732835129457,0.8204414,0.591256555898845
flux_boundary8_hyperpara_top,u,2853,3262,1.1613223634572156,1.1618292,0.8372799629839442
flux_boundary8_hyperpara_top,u,2853,1372,1.4199701816196755,1.3606641,0.980571645243422
flux_boundary8_hyperpara_top,u,2853,4186,1.1546145359698143,1.0575451,0.7621268945564459
flux_boundary8_hyperpara_top,u,2853,73,1.1533412319295224,1.8340902,1.3217493783554601
flux_boundary8_hyperpara_top,u,2853,2827,0.8183553853255099,0.94792783,0.6831305111215166
flux_boundary8_hyperpara_top,u,2853,4079,1.1547007787186858,2.0743003,1.4948582677598452
flux_boundary8_hyperpara_top,u,2853,1241,1.1521595775159916,2.6201212,1.8882077473744567
flux_boundary8_hyperpara_top,u,2853,182,1.1535685363472823,1.1495429,0.828425770954069
flux_boundary8_hyperpara_top,u,2853,2431,0.10935530457701968,0.71478707,0.5151160091077623
flux_boundary8_hyperpara_top,u,2853,2711,0.09648464570379821,0.9058511,0.6528076249418987
flux_boundary8_hyperpara_top,u,2853,4341,1.428498019340372,1.3472916,0.9709345557604211
flux_boundary8_hyperpara_top,u,2853,3005,1.1643368617910972,0.94863445,0.683639697949056
flux_boundary8_hyperpara_top,u,2853,2250,1.15406683244496,1.1496685,0.8285162104512399
flux_boundary8_hyperpara_top,u,2853,2505,1.1528443783699978,1.2454598,0.8975489025112295
flux_boundary8_hyperpara_top,u,2853,2901,1.1606376020699498,0.49528357,0.35692939868337903
flux_boundary8_hyperpara_top,u,2853,1202,0.015606882240857484,0.18757837,0.13517959107270403
