model,swap_block,base_idx,donor_idx,input_rel_change,output_coeff_rel_change,output_field_rel_change
flux_boundary8_left,f_sub,3809,3653,8.024625202977434,0.031738807,0.008412552385194364
flux_boundary8_left,f_sub,3809,3632,2.4370852356941994,0.012414189,0.0032904520452274855
flux_boundary8_left,f_sub,3809,335,3.3568897422138138,0.003820215,0.0010125699336978502
flux_boundary8_left,f_sub,3809,782,2.0440864651139408,0.0031947484,0.0008467863452886948
flux_boundary8_left,f_sub,3809,3262,2.3426085377065813,0.003396438,0.0009002453696063392
flux_boundary8_left,f_sub,3809,1372,2.892503840185796,0.0018204484,0.00048252032346963997
flux_boundary8_left,f_sub,3809,4186,1.9237858138773374,0.0002739692,7.261710596862294e-05
flux_boundary8_left,f_sub,3809,73,2.692149228737177,0.01112067,0.0029475971898920627
flux_boundary8_left,f_sub,3809,2827,3.371155080763565,0.0038258126,0.0010140535949337195
flux_boundary8_left,f_sub,3809,4079,2.5590249300448145,0.0037691619,0.0009990380404019195
flux_boundary8_left,f_sub,3809,1241,6.45074536964374,0.019708201,0.00522377185449102
flux_boundary8_left,f_sub,3809,182,1.4828906372316757,0.00087184046,0.00023108631883183027
flux_boundary8_left,f_sub,3809,2431,1.6361824390926092,0.004023095,0.0010663445141448837
flux_boundary8_left,f_sub,3809,2711,10.362279477752871,0.01285583,0.0034075113740553945
flux_boundary8_left,f_sub,3809,4341,2.383032585427866,0.03162182,0.008381544838333865
flux_boundary8_left,f_sub,3809,3005,1.5461707289154771,0.009180499,0.002433344185490618
flux_boundary8_left,f_sub,3809,2250,2.921060339306955,0.003233054,0.0008569394614646068
flux_boundary8_left,f_sub,3809,2505,1.806585623069235,0.012866987,0.0034104686941805965
flux_boundary8_left,f_sub,3809,2901,3.3085059720218917,0.0035622576,0.0009441967964056851
flux_boundary8_left,f_sub,3809,1202,1.1055656401260145,0.0035698055,0.0009461974649128602
flux_boundary8_left,f_sub,2853,3653,2.887006396551128,0.0123711275,0.003644690408722689
flux_boundary8_left,f_sub,2853,3632,1.4168778516050236,0.006710845,0.001977099640786706
flux_boundary8_left,f_sub,2853,335,0.0998936400641942,0.0008776038,0.00025855315799139293
flux_boundary8_left,f_sub,2853,782,0.2834302684749182,0.0019066923,0.0005617356241742286
flux_boundary8_left,f_sub,2853,3262,0.1881316425061867,0.0012885465,0.0003796220633008146
flux_boundary8_left,f_sub,2853,1372,0.06824938665341554,0.0033596752,0.0009898027964633776
flux_boundary8_left,f_sub,2853,4186,0.2978324282485931,0.0033030596,0.0009731231082988682
flux_boundary8_left,f_sub,2853,73,1.4801026170933314,0.0022420369,0.0006605323404549016
flux_boundary8_left,f_sub,2853,2827,0.10426104377735243,0.0007658244,0.00022562153662719566
flux_boundary8_left,f_sub,2853,4079,0.16863528745936895,0.0027553258,0.000811753752592737
flux_boundary8_left,f_sub,2853,1241,2.5114362088847915,0.0039835405,0.0011736013641323868
flux_boundary8_left,f_sub,2853,182,0.4216691134873609,0.0016323054,0.00048089777539337916
flux_boundary8_left,f_sub,2853,2431,1.0923759862181015,0.005637259,0.001660807884915373
flux_boundary8_left,f_sub,2853,2711,3.5420440717763855,0.0055411705,0.0016324987884366344
flux_boundary8_left,f_sub,2853,4341,1.3298703916865025,0.034628753,0.010202067860594981
flux_boundary8_left,f_sub,2853,3005,0.4516436951538541,0.0072496557,0.002135840141958253
flux_boundary8_left,f_sub,2853,2250,0.058387191499074204,0.002887512,0.0008506975498007013
flux_boundary8_left,f_sub,2853,2505,0.43189688639371415,0.007064367,0.0020812518685383048
flux_boundary8_left,f_sub,2853,2901,0.08958781613036379,0.00056210224,0.00016560241264890256
flux_boundary8_left,f_sub,2853,1202,0.8054960174536664,0.0052945497,0.0015598412251504289
