model,swap_block,base_idx,donor_idx,input_rel_change,output_coeff_rel_change,output_field_rel_change
flux_boundary8_left,u,3809,3653,1.257686662290389,9.7163515,2.572722194486577
flux_boundary8_left,u,3809,3632,1.4080220909536683,1.5714593,0.4160952934953199
flux_boundary8_left,u,3809,335,1.4080186112677893,2.4446168,0.6472923182464704
flux_boundary8_left,u,3809,782,1.4224131590688822,0.74741656,0.197902988181835
flux_boundary8_left,u,3809,3262,1.1643353388699993,3.4605854,0.9163032276296419
flux_boundary8_left,u,3809,1372,0.8225641278321445,3.559273,0.9424340733057706
flux_boundary8_left,u,3809,4186,1.1545650614567828,2.7278879,0.722297618170964
flux_boundary8_left,u,3809,73,1.1485149253352582,2.417673,0.640158063705412
flux_boundary8_left,u,3809,2827,1.408448296610703,2.4427457,0.6467969312643487
flux_boundary8_left,u,3809,4079,1.1481796001403708,2.572773,0.6812258808156552
flux_boundary8_left,u,3809,1241,1.1560807530998127,3.853657,1.0203818509978906
flux_boundary8_left,u,3809,182,1.1546087870650383,2.3018968,0.6095025495122198
flux_boundary8_left,u,3809,2431,1.4080320152501036,2.2634842,0.5993315241436015
flux_boundary8_left,u,3809,2711,1.4203117882841447,1.0222306,0.27066902411384614
flux_boundary8_left,u,3809,4341,0.09889225857781697,3.0557623,0.8091131625589761
flux_boundary8_left,u,3809,3005,1.1564657188688217,2.9792867,0.7888636392943034
flux_boundary8_left,u,3809,2250,1.1578338200647955,2.4233313,0.6416563680310087
flux_boundary8_left,u,3809,2505,1.1500968362924615,2.5538225,0.6762080910457977
flux_boundary8_left,u,3809,2901,1.150740597190051,3.1354709,0.8302186336947955
flux_boundary8_left,u,3809,1202,1.4119511118829442,0.6622162,0.1753434025639003
flux_boundary8_left,u,2853,3653,1.2414546505742636,23.396809,1.823405465380574
flux_boundary8_left,u,2853,3632,0.8241615593570485,7.8188705,0.609355385079406
flux_boundary8_left,u,2853,335,0.8189919361181501,6.525874,0.5085870770200706
flux_boundary8_left,u,2853,782,0.10211732835129457,3.7411249,0.29156058036765686
flux_boundary8_left,u,2853,3262,1.1613223634572156,12.150054,0.9469015647481611
flux_boundary8_left,u,2853,1372,1.4199701816196755,12.310998,0.9594444799925028
flux_boundary8_left,u,2853,4186,1.1546145359698143,9.385159,0.7314223306263605
flux_boundary8_left,u,2853,73,1.1533412319295224,5.920479,0.46140621714399316
flux_boundary8_left,u,2853,2827,0.8183553853255099,6.1969934,0.48295611614639095
flux_boundary8_left,u,2853,4079,1.1547007787186858,5.7677455,0.44950314054841606
flux_boundary8_left,u,2853,1241,1.1521595775159916,7.62048,0.59389402584727
flux_boundary8_left,u,2853,182,1.1535685363472823,9.470679,0.7380872916507761
flux_boundary8_left,u,2853,2431,0.10935530457701968,3.403372,0.26523821005234216
flux_boundary8_left,u,2853,2711,0.09648464570379821,4.9008007,0.38193873717747245
flux_boundary8_left,u,2853,4341,1.428498019340372,10.926951,0.8515803642983351
flux_boundary8_left,u,2853,3005,1.1643368617910972,10.055894,0.7836953277513595
flux_boundary8_left,u,2853,2250,1.15406683244496,9.751513,0.759973769435767
flux_boundary8_left,u,2853,2505,1.1528443783699978,6.5640836,0.5115648668744729
flux_boundary8_left,u,2853,2901,1.1606376020699498,10.603256,0.8263534419881766
flux_boundary8_left,u,2853,1202,0.015606882240857484,2.546071,0.19842534856213243
