model,swap_block,base_idx,donor_idx,input_rel_change,output_coeff_rel_change,output_field_rel_change
flux_boundary8_right,u,3809,3653,1.257686662290389,10.176302,6.2136252814113355
flux_boundary8_right,u,3809,3632,1.4080220909536683,2.364501,1.4437583554366413
flux_boundary8_right,u,3809,335,1.4080186112677893,1.6965975,1.0359382909261992
flux_boundary8_right,u,3809,782,1.4224131590688822,0.6498335,0.39678673976371037
flux_boundary8_right,u,3809,3262,1.1643353388699993,1.4267724,0.8711837589463403
flux_boundary8_right,u,3809,1372,0.8225641278321445,1.1011529,0.6723611730004928
flux_boundary8_right,u,3809,4186,1.1545650614567828,5.759222,3.5165672875883094
flux_boundary8_right,u,3809,73,1.1485149253352582,1.5025384,0.9174462656917864
flux_boundary8_right,u,3809,2827,1.408448296610703,1.5264671,0.9320570283204211
flux_boundary8_right,u,3809,4079,1.1481796001403708,0.9268172,0.5659122796069735
flux_boundary8_right,u,3809,1241,1.1560807530998127,4.2966285,2.6235105867442634
flux_boundary8_right,u,3809,182,1.1546087870650383,2.7039232,1.6510089270405357
flux_boundary8_right,u,3809,2431,1.4080320152501036,3.7174406,2.269860159167007
flux_boundary8_right,u,3809,2711,1.4203117882841447,0.6987879,0.4266781857120734
flux_boundary8_right,u,3809,4341,0.09889225857781697,0.81600916,0.4982532106119136
flux_boundary8_right,u,3809,3005,1.1564657188688217,0.35310057,0.21560234199671546
flux_boundary8_right,u,3809,2250,1.1578338200647955,2.2740288,1.3885163231404007
flux_boundary8_right,u,3809,2505,1.1500968362924615,2.1676993,1.3235919030414856
flux_boundary8_right,u,3809,2901,1.150740597190051,0.27218342,0.16619451983478783
flux_boundary8_right,u,3809,1202,1.4119511118829442,1.1267594,0.6879964553462782
flux_boundary8_right,u,2853,3653,1.2414546505742636,18.546347,3.8672685002128
flux_boundary8_right,u,2853,3632,0.8241615593570485,3.5610607,0.7425493834706073
flux_boundary8_right,u,2853,335,0.8189919361181501,1.6124376,0.33622413066131795
flux_boundary8_right,u,2853,782,0.10211732835129457,3.1952739,0.666275821747538
flux_boundary8_right,u,2853,3262,1.1613223634572156,0.8438972,0.17596874146156422
flux_boundary8_right,u,2853,1372,1.4199701816196755,0.81874424,0.17072384428829626
flux_boundary8_right,u,2853,4186,1.1546145359698143,7.217511,1.5049891727771976
flux_boundary8_right,u,2853,73,1.1533412319295224,4.5587015,0.950576540033579
flux_boundary8_right,u,2853,2827,0.8183553853255099,1.5509244,0.32339743223300865
flux_boundary8_right,u,2853,4079,1.1547007787186858,3.475485,0.7247052012838447
flux_boundary8_right,u,2853,1241,1.1521595775159916,9.070603,1.8913943065961685
flux_boundary8_right,u,2853,182,1.1535685363472823,2.4111502,0.5027710163217722
flux_boundary8_right,u,2853,2431,0.10935530457701968,3.9603472,0.8258082399311898
flux_boundary8_right,u,2853,2711,0.09648464570379821,3.2209604,0.671631946136132
flux_boundary8_right,u,2853,4341,1.428498019340372,1.0845447,0.2261483251015158
flux_boundary8_right,u,2853,3005,1.1643368617910972,2.445195,0.5098699849111492
flux_boundary8_right,u,2853,2250,1.15406683244496,1.6500632,0.34406973643915245
flux_boundary8_right,u,2853,2505,1.1528443783699978,5.643315,1.1767392112165078
flux_boundary8_right,u,2853,2901,1.1606376020699498,1.7556021,0.3660766389763878
flux_boundary8_right,u,2853,1202,0.015606882240857484,0.33939046,0.07076940871901545
