model,swap_block,base_idx,donor_idx,input_rel_change,output_coeff_rel_change,output_field_rel_change
flux_boundary8_top,u,3809,3653,1.257686662290389,3.6220746,1.617342387731646
flux_boundary8_top,u,3809,3632,1.4080220909536683,4.38916,1.9598643165589484
flux_boundary8_top,u,3809,335,1.4080186112677893,1.0947702,0.48884089887143806
flux_boundary8_top,u,3809,782,1.4224131590688822,1.1807932,0.5272521977023668
flux_boundary8_top,u,3809,3262,1.1643353388699993,1.1766963,0.5254228633801186
flux_boundary8_top,u,3809,1372,0.8225641278321445,0.9494826,0.4239665176008571
flux_boundary8_top,u,3809,4186,1.1545650614567828,2.7801847,1.241418528659397
flux_boundary8_top,u,3809,73,1.1485149253352582,0.334523,0.1493724612095352
flux_boundary8_top,u,3809,2827,1.408448296610703,1.1504375,0.5136976969055435
flux_boundary8_top,u,3809,4079,1.1481796001403708,0.20054582,0.08954848075116381
flux_boundary8_top,u,3809,1241,1.1560807530998127,0.37885773,0.16916898703844777
flux_boundary8_top,u,3809,182,1.1546087870650383,1.8419715,0.8224840903354902
flux_boundary8_top,u,3809,2431,1.4080320152501036,2.8216562,1.2599365477685869
flux_boundary8_top,u,3809,2711,1.4203117882841447,1.619315,0.723062611438972
flux_boundary8_top,u,3809,4341,0.09889225857781697,0.8009218,0.35763062170872756
flux_boundary8_top,u,3809,3005,1.1564657188688217,1.8221198,0.8136197451416143
flux_boundary8_top,u,3809,2250,1.1578338200647955,1.3463386,0.6011722146316243
flux_boundary8_top,u,3809,2505,1.1500968362924615,0.8634156,0.38553556770847347
flux_boundary8_top,u,3809,2901,1.150740597190051,1.4670836,0.6550876679835321
flux_boundary8_top,u,3809,1202,1.4119511118829442,1.4830344,0.6622101148795615
flux_boundary8_top,u,2853,3653,1.2414546505742636,8.724845,7.501514010855589
flux_boundary8_top,u,2853,3632,0.8241615593570485,4.8271255,4.150302853366264
flux_boundary8_top,u,2853,335,0.8189919361181501,1.6830927,1.4471022400830411
flux_boundary8_top,u,2853,782,0.10211732835129457,0.67095536,0.5768790932582974
flux_boundary8_top,u,2853,3262,1.1613223634572156,0.72049296,0.6194709139872685
flux_boundary8_top,u,2853,1372,1.4199701816196755,1.0634634,0.9143527352826213
flux_boundary8_top,u,2853,4186,1.1546145359698143,2.0439947,1.7574014179333057
flux_boundary8_top,u,2853,73,1.1533412319295224,2.07701,1.7857875030553543
flux_boundary8_top,u,2853,2827,0.8183553853255099,1.4318115,1.2310537182775467
flux_boundary8_top,u,2853,4079,1.1547007787186858,2.4012165,2.064536059053369
flux_boundary8_top,u,2853,1241,1.1521595775159916,2.8596208,2.458666497743977
flux_boundary8_top,u,2853,182,1.1535685363472823,0.5556954,0.4777800075891143
flux_boundary8_top,u,2853,2431,0.10935530457701968,2.1054544,1.8102435518090907
flux_boundary8_top,u,2853,2711,0.09648464570379821,0.3476182,0.2988778117719108
flux_boundary8_top,u,2853,4341,1.428498019340372,1.3052497,1.12223752809667
flux_boundary8_top,u,2853,3005,1.1643368617910972,0.55200416,0.4746063312079386
flux_boundary8_top,u,2853,2250,1.15406683244496,0.4079018,0.3507089193889037
flux_boundary8_top,u,2853,2505,1.1528443783699978,1.2652379,1.0878359154728487
flux_boundary8_top,u,2853,2901,1.1606376020699498,0.18243048,0.15685145372602885
flux_boundary8_top,u,2853,1202,0.015606882240857484,0.19600558,0.1685231677327573
