model,swap_block,base_idx,donor_idx,input_rel_change,output_coeff_rel_change,output_field_rel_change
flux_boundary8modified_bottom,f_sub,3809,3653,8.024625202977434,0.1061335,0.046959378880926925
flux_boundary8modified_bottom,f_sub,3809,3632,2.4370852356941994,0.060364626,0.02670867851192944
flux_boundary8modified_bottom,f_sub,3809,335,3.3568897422138138,0.005222583,0.0023107620485581636
flux_boundary8modified_bottom,f_sub,3809,782,2.0440864651139408,0.010818641,0.004786769938308526
flux_boundary8modified_bottom,f_sub,3809,3262,2.3426085377065813,0.0037869161,0.0016755428865431697
flux_boundary8modified_bottom,f_sub,3809,1372,2.892503840185796,0.007909044,0.0034994020374126064
flux_boundary8modified_bottom,f_sub,3809,4186,1.9237858138773374,0.0014084281,0.0006231670756864357
flux_boundary8modified_bottom,f_sub,3809,73,2.692149228737177,0.03954236,0.01749574383020393
flux_boundary8modified_bottom,f_sub,3809,2827,3.371155080763565,0.0056204055,0.0024867809121117295
flux_boundary8modified_bottom,f_sub,3809,4079,2.5590249300448145,0.00802192,0.003549344909206711
flux_boundary8modified_bottom,f_sub,3809,1241,6.45074536964374,0.06438167,0.02848603832862497
flux_boundary8modified_bottom,f_sub,3809,182,1.4828906372316757,0.011061045,0.004894023047798002
flux_boundary8modified_bottom,f_sub,3809,2431,1.6361824390926092,0.0424076,0.018763486022935955
flux_boundary8modified_bottom,f_sub,3809,2711,10.362279477752871,0.10505271,0.04648117770109408
flux_boundary8modified_bottom,f_sub,3809,4341,2.383032585427866,0.020848174,0.009224395014800005
flux_boundary8modified_bottom,f_sub,3809,3005,1.5461707289154771,0.008125887,0.0035953455102310005
flux_boundary8modified_bottom,f_sub,3809,2250,2.921060339306955,0.006027694,0.002666987674046583
flux_boundary8modified_bottom,f_sub,3809,2505,1.806585623069235,0.020612733,0.009120222414989738
flux_boundary8modified_bottom,f_sub,3809,2901,3.3085059720218917,0.005058956,0.002238364269784967
flux_boundary8modified_bottom,f_sub,3809,1202,1.1055656401260145,0.032919038,0.01456521791116618
flux_boundary8modified_bottom,f_sub,2853,3653,2.887006396551128,0.02031412,0.00995016059240283
flux_boundary8modified_bottom,f_sub,2853,3632,1.4168778516050236,0.0039743027,0.0019466730435042086
flux_boundary8modified_bottom,f_sub,2853,335,0.0998936400641942,0.0004324137,0.00021180272370136866
flux_boundary8modified_bottom,f_sub,2853,782,0.2834302684749182,0.0009050863,0.000443324853158805
flux_boundary8modified_bottom,f_sub,2853,3262,0.1881316425061867,0.0005400253,0.00026451250391513814
flux_boundary8modified_bottom,f_sub,2853,1372,0.06824938665341554,0.0008720455,0.00042714098979359757
flux_boundary8modified_bottom,f_sub,2853,4186,0.2978324282485931,0.00075204816,0.00036836447734811035
flux_boundary8modified_bottom,f_sub,2853,73,1.4801026170933314,0.0049693296,0.002434052217464355
flux_boundary8modified_bottom,f_sub,2853,2827,0.10426104377735243,0.00041134335,0.0002014821575302078
flux_boundary8modified_bottom,f_sub,2853,4079,0.16863528745936895,0.0016698962,0.0008179401758672055
flux_boundary8modified_bottom,f_sub,2853,1241,2.5114362088847915,0.008487471,0.004157291023051735
flux_boundary8modified_bottom,f_sub,2853,182,0.4216691134873609,0.00043964433,0.0002153443844954274
flux_boundary8modified_bottom,f_sub,2853,2431,1.0923759862181015,0.0030570063,0.0014973674836843568
flux_boundary8modified_bottom,f_sub,2853,2711,3.5420440717763855,0.010322833,0.005056278583056635
flux_boundary8modified_bottom,f_sub,2853,4341,1.3298703916865025,0.0025986447,0.0012728551774366307
flux_boundary8modified_bottom,f_sub,2853,3005,0.4516436951538541,0.0011963358,0.0005859832177059414
flux_boundary8modified_bottom,f_sub,2853,2250,0.058387191499074204,0.000615756,0.0003016065478224865
flux_boundary8modified_bottom,f_sub,2853,2505,0.43189688639371415,0.0070349183,0.003445808485471598
flux_boundary8modified_bottom,f_sub,2853,2901,0.08958781613036379,0.00080913666,0.0003963272615686207
flux_boundary8modified_bottom,f_sub,2853,1202,0.8054960174536664,0.0024946507,0.0012219173030344715
