model,swap_block,base_idx,donor_idx,input_rel_change,output_coeff_rel_change,output_field_rel_change
flux_boundary8modified_bottom,u,3809,3653,1.257686662290389,11.210929,4.960340113834603
flux_boundary8modified_bottom,u,3809,3632,1.4080220909536683,2.93751,1.2997182850408255
flux_boundary8modified_bottom,u,3809,335,1.4080186112677893,3.9888518,1.764890401808682
flux_boundary8modified_bottom,u,3809,782,1.4224131590688822,1.9558212,0.8653643791941856
flux_boundary8modified_bottom,u,3809,3262,1.1643353388699993,1.6480975,0.729210248524357
flux_boundary8modified_bottom,u,3809,1372,0.8225641278321445,2.0375974,0.9015467378027404
flux_boundary8modified_bottom,u,3809,4186,1.1545650614567828,4.1616507,1.8413463621884982
flux_boundary8modified_bottom,u,3809,73,1.1485149253352582,1.2999848,0.5751857922192615
flux_boundary8modified_bottom,u,3809,2827,1.408448296610703,3.7218413,1.6467500851490096
flux_boundary8modified_bottom,u,3809,4079,1.1481796001403708,0.9398953,0.4158620850689559
flux_boundary8modified_bottom,u,3809,1241,1.1560807530998127,5.0195913,2.2209468633322893
flux_boundary8modified_bottom,u,3809,182,1.1546087870650383,0.55994654,0.24775156464609718
flux_boundary8modified_bottom,u,3809,2431,1.4080320152501036,6.069339,2.6854141686484
flux_boundary8modified_bottom,u,3809,2711,1.4203117882841447,2.2643185,1.0018607759159477
flux_boundary8modified_bottom,u,3809,4341,0.09889225857781697,0.8241297,0.36464094969761424
flux_boundary8modified_bottom,u,3809,3005,1.1564657188688217,0.6879622,0.30439282991771555
flux_boundary8modified_bottom,u,3809,2250,1.1578338200647955,0.5766836,0.25515697488171213
flux_boundary8modified_bottom,u,3809,2505,1.1500968362924615,2.8145933,1.2453330137421896
flux_boundary8modified_bottom,u,3809,2901,1.150740597190051,0.4641862,0.20538185612828588
flux_boundary8modified_bottom,u,3809,1202,1.4119511118829442,3.940695,1.743583136627095
flux_boundary8modified_bottom,u,2853,3653,1.2414546505742636,5.107324,2.501644090360736
flux_boundary8modified_bottom,u,2853,3632,0.8241615593570485,1.0929222,0.5353297223411718
flux_boundary8modified_bottom,u,2853,335,0.8189919361181501,0.14544268,0.07124001175310357
flux_boundary8modified_bottom,u,2853,782,0.10211732835129457,0.646302,0.3165684331933994
flux_boundary8modified_bottom,u,2853,3262,1.1613223634572156,1.8296101,0.8961705029282994
flux_boundary8modified_bottom,u,2853,1372,1.4199701816196755,1.9741863,0.9669860948397778
flux_boundary8modified_bottom,u,2853,4186,1.1546145359698143,0.16108572,0.07890220446694164
flux_boundary8modified_bottom,u,2853,73,1.1533412319295224,1.7175387,0.8412762481555922
flux_boundary8modified_bottom,u,2853,2827,0.8183553853255099,0.08760369,0.042909601316500234
flux_boundary8modified_bottom,u,2853,4079,1.1547007787186858,1.6046466,0.7859799281519947
flux_boundary8modified_bottom,u,2853,1241,1.1521595775159916,2.981971,1.4606142566736693
flux_boundary8modified_bottom,u,2853,182,1.1535685363472823,1.3158094,0.6445031165305314
flux_boundary8modified_bottom,u,2853,2431,0.10935530457701968,0.80174303,0.39270579088151314
flux_boundary8modified_bottom,u,2853,2711,0.09648464570379821,0.5803391,0.28425877688481177
flux_boundary8modified_bottom,u,2853,4341,1.428498019340372,1.0444416,0.5115831735987499
flux_boundary8modified_bottom,u,2853,3005,1.1643368617910972,1.420239,0.6956543902869089
flux_boundary8modified_bottom,u,2853,2250,1.15406683244496,1.4621274,0.7161719776519179
flux_boundary8modified_bottom,u,2853,2505,1.1528443783699978,2.232238,1.0933837274262368
flux_boundary8modified_bottom,u,2853,2901,1.1606376020699498,1.1503828,0.563474756316817
flux_boundary8modified_bottom,u,2853,1202,0.015606882240857484,0.06288036,0.03079974552157879
