model,swap_block,base_idx,donor_idx,input_rel_change,output_coeff_rel_change,output_field_rel_change
flux_boundary8modified_left,u,3809,3653,1.257686662290389,21.61787,5.529749086140378
flux_boundary8modified_left,u,3809,3632,1.4080220909536683,12.208178,3.1227940732503683
flux_boundary8modified_left,u,3809,335,1.4080186112677893,4.6426854,1.1875769444634459
flux_boundary8modified_left,u,3809,782,1.4224131590688822,0.3826704,0.09788528273416691
flux_boundary8modified_left,u,3809,3262,1.1643353388699993,0.52245283,0.13364096229358816
flux_boundary8modified_left,u,3809,1372,0.8225641278321445,3.7473404,0.958551979544186
flux_boundary8modified_left,u,3809,4186,1.1545650614567828,6.561207,1.6783255681562788
flux_boundary8modified_left,u,3809,73,1.1485149253352582,6.6445346,1.699640423974496
flux_boundary8modified_left,u,3809,2827,1.408448296610703,4.413363,1.128917394926623
flux_boundary8modified_left,u,3809,4079,1.1481796001403708,8.012915,2.0496656618669324
flux_boundary8modified_left,u,3809,1241,1.1560807530998127,8.776254,2.2449243513267727
flux_boundary8modified_left,u,3809,182,1.1546087870650383,2.529345,0.6469945463388639
flux_boundary8modified_left,u,3809,2431,1.4080320152501036,4.4609,1.1410771814589085
flux_boundary8modified_left,u,3809,2711,1.4203117882841447,1.7232162,0.44079056065948924
flux_boundary8modified_left,u,3809,4341,0.09889225857781697,3.1585777,0.8079492951053254
flux_boundary8modified_left,u,3809,3005,1.1564657188688217,2.5957959,0.6639923805091412
flux_boundary8modified_left,u,3809,2250,1.1578338200647955,0.66582245,0.1703142439125996
flux_boundary8modified_left,u,3809,2505,1.1500968362924615,6.2096205,1.5883915010174847
flux_boundary8modified_left,u,3809,2901,1.150740597190051,3.366374,0.8611025762858391
flux_boundary8modified_left,u,3809,1202,1.4119511118829442,0.82415247,0.21081431323449434
flux_boundary8modified_left,u,2853,3653,1.2414546505742636,19.703053,5.80627937496833
flux_boundary8modified_left,u,2853,3632,0.8241615593570485,10.869387,3.2030919775639637
flux_boundary8modified_left,u,2853,335,0.8189919361181501,4.3669105,1.2868818118287884
flux_boundary8modified_left,u,2853,782,0.10211732835129457,0.40675068,0.11986508227811123
flux_boundary8modified_left,u,2853,3262,1.1613223634572156,0.47974876,0.1413768389285718
flux_boundary8modified_left,u,2853,1372,1.4199701816196755,3.2282207,0.9513222509395654
flux_boundary8modified_left,u,2853,4186,1.1546145359698143,5.7664833,1.6993209330872376
flux_boundary8modified_left,u,2853,73,1.1533412319295224,6.1496773,1.8122440406245293
flux_boundary8modified_left,u,2853,2827,0.8183553853255099,4.1553574,1.2245393604517587
flux_boundary8modified_left,u,2853,4079,1.1547007787186858,7.3940473,2.1789467261033844
flux_boundary8modified_left,u,2853,1241,1.1521595775159916,8.064254,2.3764494490165924
flux_boundary8modified_left,u,2853,182,1.1535685363472823,2.1141312,0.6230118676036663
flux_boundary8modified_left,u,2853,2431,0.10935530457701968,3.8652399,1.1390448931135333
flux_boundary8modified_left,u,2853,2711,0.09648464570379821,1.3840678,0.40786998699014243
flux_boundary8modified_left,u,2853,4341,1.428498019340372,2.7006888,0.7958641429410682
flux_boundary8modified_left,u,2853,3005,1.1643368617910972,2.4635243,0.7259742754681154
flux_boundary8modified_left,u,2853,2250,1.15406683244496,0.42834082,0.1262274634359205
flux_boundary8modified_left,u,2853,2505,1.1528443783699978,5.751398,1.6948756065136719
flux_boundary8modified_left,u,2853,2901,1.1606376020699498,3.1903238,0.9401543761328833
flux_boundary8modified_left,u,2853,1202,0.015606882240857484,0.60678583,0.1788132975218073
