model,swap_block,base_idx,donor_idx,input_rel_change,output_coeff_rel_change,output_field_rel_change
flux_boundary8modified_right,f_sub,3809,3653,8.024625202977434,0.07903282,0.04542398540285638
flux_boundary8modified_right,f_sub,3809,3632,2.4370852356941994,0.032170586,0.018489991854647107
flux_boundary8modified_right,f_sub,3809,335,3.3568897422138138,0.0023695766,0.001361910342716692
flux_boundary8modified_right,f_sub,3809,782,2.0440864651139408,0.008297009,0.004768692837270874
flux_boundary8modified_right,f_sub,3809,3262,2.3426085377065813,0.003370423,0.0019371452073335793
flux_boundary8modified_right,f_sub,3809,1372,2.892503840185796,0.0026869096,0.0015442968018786
flux_boundary8modified_right,f_sub,3809,4186,1.9237858138773374,0.004425889,0.0025437722547403735
flux_boundary8modified_right,f_sub,3809,73,2.692149228737177,0.02068413,0.0118881700537929
flux_boundary8modified_right,f_sub,3809,2827,3.371155080763565,0.002162243,0.0012427455789021167
flux_boundary8modified_right,f_sub,3809,4079,2.5590249300448145,0.010854849,0.006238806705894694
flux_boundary8modified_right,f_sub,3809,1241,6.45074536964374,0.029645314,0.01703859476703308
flux_boundary8modified_right,f_sub,3809,182,1.4828906372316757,0.008027972,0.004614063495452176
flux_boundary8modified_right,f_sub,3809,2431,1.6361824390926092,0.024969567,0.014351218243023978
flux_boundary8modified_right,f_sub,3809,2711,10.362279477752871,0.046333745,0.026630244357235672
flux_boundary8modified_right,f_sub,3809,4341,2.383032585427866,0.014046655,0.00807329143501673
flux_boundary8modified_right,f_sub,3809,3005,1.5461707289154771,0.0030868424,0.0017741576573732493
flux_boundary8modified_right,f_sub,3809,2250,2.921060339306955,0.0012507066,0.0007188416022370002
flux_boundary8modified_right,f_sub,3809,2505,1.806585623069235,0.022356218,0.012849199510547832
flux_boundary8modified_right,f_sub,3809,2901,3.3085059720218917,0.004099937,0.002356432158600985
flux_boundary8modified_right,f_sub,3809,1202,1.1055656401260145,0.020864988,0.011992117473798325
flux_boundary8modified_right,f_sub,2853,3653,2.887006396551128,0.08920106,0.019066985610911986
flux_boundary8modified_right,f_sub,2853,3632,1.4168778516050236,0.05162592,0.011035190277176452
flux_boundary8modified_right,f_sub,2853,335,0.0998936400641942,0.006586415,0.001407865288941815
flux_boundary8modified_right,f_sub,2853,782,0.2834302684749182,0.0055364203,0.0011834258647315785
flux_boundary8modified_right,f_sub,2853,3262,0.1881316425061867,0.0041064275,0.0008777608132646684
flux_boundary8modified_right,f_sub,2853,1372,0.06824938665341554,0.009264217,0.001980253353229065
flux_boundary8modified_right,f_sub,2853,4186,0.2978324282485931,0.016315846,0.0034875593610670472
flux_boundary8modified_right,f_sub,2853,73,1.4801026170933314,0.016330978,0.003490793993709162
flux_boundary8modified_right,f_sub,2853,2827,0.10426104377735243,0.007027228,0.001502090313390518
flux_boundary8modified_right,f_sub,2853,4079,0.16863528745936895,0.009515561,0.00203397883022698
flux_boundary8modified_right,f_sub,2853,1241,2.5114362088847915,0.020847451,0.004456203391744159
flux_boundary8modified_right,f_sub,2853,182,0.4216691134873609,0.007703396,0.0016466232924357144
flux_boundary8modified_right,f_sub,2853,2431,1.0923759862181015,0.01569222,0.0033542574954669915
flux_boundary8modified_right,f_sub,2853,2711,3.5420440717763855,0.09021987,0.019284759978277534
flux_boundary8modified_right,f_sub,2853,4341,1.3298703916865025,0.043062832,0.009204804905065565
flux_boundary8modified_right,f_sub,2853,3005,0.4516436951538541,0.004069563,0.0008698808884937053
flux_boundary8modified_right,f_sub,2853,2250,0.058387191499074204,0.0019665824,0.00042036267470934105
flux_boundary8modified_right,f_sub,2853,2505,0.43189688639371415,0.025453178,0.005440690621516551
flux_boundary8modified_right,f_sub,2853,2901,0.08958781613036379,0.007796059,0.0016664301939925516
flux_boundary8modified_right,f_sub,2853,1202,0.8054960174536664,0.010669249,0.0022805830146786655
