model,swap_block,base_idx,donor_idx,input_rel_change,output_coeff_rel_change,output_field_rel_change
flux_boundary8modified_right,u,3809,3653,1.257686662290389,10.614495,6.100664053896507
flux_boundary8modified_right,u,3809,3632,1.4080220909536683,2.3775542,1.3664953327110134
flux_boundary8modified_right,u,3809,335,1.4080186112677893,1.7119201,0.9839232798202243
flux_boundary8modified_right,u,3809,782,1.4224131590688822,0.7041452,0.4047062756267566
flux_boundary8modified_right,u,3809,3262,1.1643353388699993,1.4484411,0.8324892550452304
flux_boundary8modified_right,u,3809,1372,0.8225641278321445,1.1423099,0.6565408001151624
flux_boundary8modified_right,u,3809,4186,1.1545650614567828,5.968037,3.430119732690349
flux_boundary8modified_right,u,3809,73,1.1485149253352582,1.5995858,0.9193592937847114
flux_boundary8modified_right,u,3809,2827,1.408448296610703,1.5860884,0.9116016765930499
flux_boundary8modified_right,u,3809,4079,1.1481796001403708,1.0262824,0.5898541489012885
flux_boundary8modified_right,u,3809,1241,1.1560807530998127,4.564026,2.6231664599802866
flux_boundary8modified_right,u,3809,182,1.1546087870650383,2.8026497,1.6108184166509891
flux_boundary8modified_right,u,3809,2431,1.4080320152501036,3.8200116,2.19554532848174
flux_boundary8modified_right,u,3809,2711,1.4203117882841447,0.7694982,0.44226782718981694
flux_boundary8modified_right,u,3809,4341,0.09889225857781697,0.84156936,0.4836906262334322
flux_boundary8modified_right,u,3809,3005,1.1564657188688217,0.36175907,0.2079204361349209
flux_boundary8modified_right,u,3809,2250,1.1578338200647955,2.3401558,1.3450008005684049
flux_boundary8modified_right,u,3809,2505,1.1500968362924615,2.264396,1.3014579373989659
flux_boundary8modified_right,u,3809,2901,1.150740597190051,0.24749227,0.14224576596092686
flux_boundary8modified_right,u,3809,1202,1.4119511118829442,1.1403791,0.6554309849475101
flux_boundary8modified_right,u,2853,3653,1.2414546505742636,17.884386,3.8228394604336176
flux_boundary8modified_right,u,2853,3632,0.8241615593570485,3.362543,0.7187534188668658
flux_boundary8modified_right,u,2853,335,0.8189919361181501,1.6047162,0.3430127563745235
flux_boundary8modified_right,u,2853,782,0.10211732835129457,3.1492867,0.6731691733269777
flux_boundary8modified_right,u,2853,3262,1.1613223634572156,0.7863241,0.16807905448481564
flux_boundary8modified_right,u,2853,1372,1.4199701816196755,0.80823016,0.17276154271783048
flux_boundary8modified_right,u,2853,4186,1.1546145359698143,6.8442364,1.4629754352623265
flux_boundary8modified_right,u,2853,73,1.1533412319295224,4.4552402,0.9523205958299277
flux_boundary8modified_right,u,2853,2827,0.8183553853255099,1.544155,0.3300675993704987
flux_boundary8modified_right,u,2853,4079,1.1547007787186858,3.469492,0.741613983505435
flux_boundary8modified_right,u,2853,1241,1.1521595775159916,8.88004,1.898134319558316
flux_boundary8modified_right,u,2853,182,1.1535685363472823,2.2477098,0.4804544759521285
flux_boundary8modified_right,u,2853,2431,0.10935530457701968,3.66913,0.7842872168813838
flux_boundary8modified_right,u,2853,2711,0.09648464570379821,3.2003906,0.6840927801316009
flux_boundary8modified_right,u,2853,4341,1.428498019340372,1.0765244,0.23011021330438855
flux_boundary8modified_right,u,2853,3005,1.1643368617910972,2.3342378,0.49895015170292273
flux_boundary8modified_right,u,2853,2250,1.15406683244496,1.4972258,0.32003637830695025
flux_boundary8modified_right,u,2853,2505,1.1528443783699978,5.4642615,1.1680018163425898
flux_boundary8modified_right,u,2853,2901,1.1606376020699498,1.7745264,0.3793101893541986
flux_boundary8modified_right,u,2853,1202,0.015606882240857484,0.4130574,0.0882922067665446
