model,swap_block,base_idx,donor_idx,input_rel_change,output_coeff_rel_change,output_field_rel_change
flux_boundary8modified_top,u,3809,3653,1.257686662290389,3.6837745,1.6371561136032915
flux_boundary8modified_top,u,3809,3632,1.4080220909536683,4.4690285,1.9861414699906292
flux_boundary8modified_top,u,3809,335,1.4080186112677893,1.1026561,0.4900463429769292
flux_boundary8modified_top,u,3809,782,1.4224131590688822,1.1826047,0.5255773703268991
flux_boundary8modified_top,u,3809,3262,1.1643353388699993,1.1821796,0.5253884207828764
flux_boundary8modified_top,u,3809,1372,0.8225641278321445,0.94390005,0.4194913963314143
flux_boundary8modified_top,u,3809,4186,1.1545650614567828,2.7994199,1.2441282230679358
flux_boundary8modified_top,u,3809,73,1.1485149253352582,0.3142432,0.13965707955416679
flux_boundary8modified_top,u,3809,2827,1.408448296610703,1.1504223,0.5112747674152921
flux_boundary8modified_top,u,3809,4079,1.1481796001403708,0.18346028,0.08153406691152372
flux_boundary8modified_top,u,3809,1241,1.1560807530998127,0.3874864,0.17220807215152162
flux_boundary8modified_top,u,3809,182,1.1546087870650383,1.8545816,0.824219769660988
flux_boundary8modified_top,u,3809,2431,1.4080320152501036,2.8482528,1.2658306067362761
flux_boundary8modified_top,u,3809,2711,1.4203117882841447,1.6261009,0.722677549745114
flux_boundary8modified_top,u,3809,4341,0.09889225857781697,0.79648423,0.3539763267672017
flux_boundary8modified_top,u,3809,3005,1.1564657188688217,1.8370079,0.8164095431148347
flux_boundary8modified_top,u,3809,2250,1.1578338200647955,1.3469009,0.5985944911759122
flux_boundary8modified_top,u,3809,2505,1.1500968362924615,0.8751636,0.38894334712568707
flux_boundary8modified_top,u,3809,2901,1.150740597190051,1.4744767,0.6552921885293865
flux_boundary8modified_top,u,3809,1202,1.4119511118829442,1.4930036,0.6635260078584148
flux_boundary8modified_top,u,2853,3653,1.2414546505742636,8.774641,7.51774302827523
flux_boundary8modified_top,u,2853,3632,0.8241615593570485,4.9169335,4.212621635258338
flux_boundary8modified_top,u,2853,335,0.8189919361181501,1.6911318,1.4488904255370438
flux_boundary8modified_top,u,2853,782,0.10211732835129457,0.66791993,0.5722456451708315
flux_boundary8modified_top,u,2853,3262,1.1613223634572156,0.7126271,0.6105488607149515
flux_boundary8modified_top,u,2853,1372,1.4199701816196755,1.0695558,0.9163502481806295
flux_boundary8modified_top,u,2853,4186,1.1546145359698143,2.0512626,1.7574354488686004
flux_boundary8modified_top,u,2853,73,1.1533412319295224,2.1013393,1.8003390943075321
flux_boundary8modified_top,u,2853,2827,0.8183553853255099,1.4573289,1.248577951168753
flux_boundary8modified_top,u,2853,4079,1.1547007787186858,2.4316664,2.083349437062735
flux_boundary8modified_top,u,2853,1241,1.1521595775159916,2.8849418,2.4716965279814818
flux_boundary8modified_top,u,2853,182,1.1535685363472823,0.5657325,0.48469578028716676
flux_boundary8modified_top,u,2853,2431,0.10935530457701968,2.1341481,1.8284481353274744
flux_boundary8modified_top,u,2853,2711,0.09648464570379821,0.35265198,0.30213735943744696
flux_boundary8modified_top,u,2853,4341,1.428498019340372,1.3065792,1.1194220255470144
flux_boundary8modified_top,u,2853,3005,1.1643368617910972,0.5690568,0.4875439303965112
flux_boundary8modified_top,u,2853,2250,1.15406683244496,0.40850434,0.34998930703196646
flux_boundary8modified_top,u,2853,2505,1.1528443783699978,1.2404338,1.0627514169202
flux_boundary8modified_top,u,2853,2901,1.1606376020699498,0.17266458,0.1479317390915337
flux_boundary8modified_top,u,2853,1202,0.015606882240857484,0.18562777,0.15903805220185135
