model,swap_block,base_idx,donor_idx,input_rel_change,output_coeff_rel_change,output_field_rel_change
flux_internal6_hyperpara_left,f_sub,7620,7308,0.5487794352827482,0.019795483,0.019795483955133183
flux_internal6_hyperpara_left,f_sub,7620,7275,2.745329408676452,0.16572636,0.16572635310717
flux_internal6_hyperpara_left,f_sub,7620,672,0.6280764695555536,0.003033991,0.003033990824228288
flux_internal6_hyperpara_left,f_sub,7620,1567,1.9554354236702178,0.045885272,0.04588527142607944
flux_internal6_hyperpara_left,f_sub,7620,6530,0.18292428038616287,0.004248384,0.004248384037088476
flux_internal6_hyperpara_left,f_sub,7620,2751,0.2079631951913841,0.02015308,0.02015308073276077
flux_internal6_hyperpara_left,f_sub,7620,8375,3.321088307847471,0.033714388,0.03371438929708117
flux_internal6_hyperpara_left,f_sub,7620,147,0.13927402870676525,0.004042545,0.004042544745075637
flux_internal6_hyperpara_left,f_sub,7620,5660,0.3868539820533703,0.039563537,0.03956353422439832
flux_internal6_hyperpara_left,f_sub,7620,8168,0.1756112898409451,0.0038496119,0.0038496116797634397
flux_internal6_hyperpara_left,f_sub,7620,2483,0.3095851196630743,0.012293908,0.012293908582137884
flux_internal6_hyperpara_left,f_sub,7620,366,2.328682279812675,0.08060453,0.08060452966440086
flux_internal6_hyperpara_left,f_sub,7620,4867,6.120168905257507,0.039963543,0.03996354203787463
flux_internal6_hyperpara_left,f_sub,7620,5428,3.0413756668432503,0.120990284,0.12099028877237654
flux_internal6_hyperpara_left,f_sub,7620,8690,0.21828891461755218,0.017664945,0.017664944116190795
flux_internal6_hyperpara_left,f_sub,7620,6010,0.14635540497823174,0.0023978807,0.0023978805141700657
flux_internal6_hyperpara_left,f_sub,7620,4506,0.5829984279428693,0.008435252,0.008435252229392337
flux_internal6_hyperpara_left,f_sub,7620,5013,2.254437148551981,0.17654833,0.17654832568919687
flux_internal6_hyperpara_left,f_sub,7620,5810,0.7053169107249666,0.0020462116,0.0020462114744332557
flux_internal6_hyperpara_left,f_sub,7620,2411,0.55199425959913,0.004417173,0.004417172965724819
flux_internal6_hyperpara_left,f_sub,5707,7308,0.6691244637505741,0.017140213,0.017140215127438574
flux_internal6_hyperpara_left,f_sub,5707,7275,2.809160001129425,0.03414533,0.03414533269388851
flux_internal6_hyperpara_left,f_sub,5707,672,0.8915487197355125,0.032660592,0.03266059335713091
flux_internal6_hyperpara_left,f_sub,5707,1567,1.954486725884125,0.017321212,0.017321213463252442
flux_internal6_hyperpara_left,f_sub,5707,6530,0.5003785947335585,0.02621131,0.026211311076294746
flux_internal6_hyperpara_left,f_sub,5707,2751,0.49677212867689247,0.021753522,0.02175352223857672
flux_internal6_hyperpara_left,f_sub,5707,8375,3.489045375997612,0.03289945,0.03289944912476468
flux_internal6_hyperpara_left,f_sub,5707,147,0.4960601833716402,0.023463206,0.02346320774412802
flux_internal6_hyperpara_left,f_sub,5707,5660,0.7236580909556568,0.0004578915,0.00045789150017411375
flux_internal6_hyperpara_left,f_sub,5707,8168,0.4957684810606037,0.025669048,0.025669048685074983
flux_internal6_hyperpara_left,f_sub,5707,2483,0.5748363558971767,0.025843875,0.02584387762526652
flux_internal6_hyperpara_left,f_sub,5707,366,2.4516632573423354,0.050793268,0.050793266954598355
flux_internal6_hyperpara_left,f_sub,5707,4867,6.428023811676113,0.07492846,0.07492846594083326
flux_internal6_hyperpara_left,f_sub,5707,5428,3.144956831048942,0.02520772,0.025207723155167103
flux_internal6_hyperpara_left,f_sub,5707,8690,0.46286255222907186,0.018246397,0.01824639870169424
flux_internal6_hyperpara_left,f_sub,5707,6010,0.47760230366379064,0.023750836,0.023750835221909156
flux_internal6_hyperpara_left,f_sub,5707,4506,0.8555612451280801,0.031299703,0.03129970072021392
flux_internal6_hyperpara_left,f_sub,5707,5013,2.2743941756289128,0.027250886,0.02725088616003423
flux_internal6_hyperpara_left,f_sub,5707,5810,0.7129745078842902,0.008032168,0.008032167797229954
flux_internal6_hyperpara_left,f_sub,5707,2411,0.8145625005636083,0.03088676,0.03088676060563119
