model,swap_block,base_idx,donor_idx,input_rel_change,output_coeff_rel_change,output_field_rel_change
flux_internal8_left,f_sub,4898,4697,2.417880082064616,0.002249605,0.0022496049447503245
flux_internal8_left,f_sub,4898,4673,2.180083571120399,0.0009714612,0.0009714611566415366
flux_internal8_left,f_sub,4898,432,2.4253056622525957,0.000775964,0.0007759640003577221
flux_internal8_left,f_sub,4898,1006,1.9384636163582942,0.0007443458,0.0007443457772574912
flux_internal8_left,f_sub,4898,4196,2.199788573109947,0.00075313,0.0007531299584683251
flux_internal8_left,f_sub,4898,1766,0.519827478421487,0.0009888306,0.00098883059404536
flux_internal8_left,f_sub,4898,5383,1.0514547319941738,0.00014446951,0.00014446950003503613
flux_internal8_left,f_sub,4898,94,0.9631546062479324,2.9155555e-05,2.9155553890080538e-05
flux_internal8_left,f_sub,4898,3636,2.3803440326819683,0.000651119,0.000651118972822194
flux_internal8_left,f_sub,4898,5247,0.7800374886460171,0.00084465113,0.0008446511587685263
flux_internal8_left,f_sub,4898,1596,0.8899746033744086,0.0002132276,0.00021322760658007718
flux_internal8_left,f_sub,4898,235,1.5741173398628594,0.0005050937,0.000505093723374986
flux_internal8_left,f_sub,4898,3127,0.6896263769004607,0.00068896747,0.0006889674449448248
flux_internal8_left,f_sub,4898,3487,1.8227354006237666,0.00025023465,0.00025023465124929505
flux_internal8_left,f_sub,4898,5583,2.045457908736946,0.002539026,0.0025390261509102064
flux_internal8_left,f_sub,4898,3863,1.6214517020981696,0.00020723802,0.00020723801827608867
flux_internal8_left,f_sub,4898,2894,1.5038336566296688,0.00045888868,0.00045888869062798374
flux_internal8_left,f_sub,4898,3221,1.6134553367787055,0.0010559646,0.001055964592492385
flux_internal8_left,f_sub,4898,3732,1.8398002051788653,0.00042131075,0.00042131072654434535
flux_internal8_left,f_sub,4898,1548,0.12483161884172708,3.052761e-05,3.052761323118616e-05
flux_internal8_left,f_sub,3668,4697,3.2880351152499836,0.018084997,0.018084997292829988
flux_internal8_left,f_sub,3668,4673,3.1109345307081058,0.03587552,0.035875518644263076
flux_internal8_left,f_sub,3668,432,0.041390857722363096,0.002074417,0.002074416961945644
flux_internal8_left,f_sub,3668,1006,0.32223818655554404,0.0049289833,0.004928983555038177
flux_internal8_left,f_sub,3668,4196,0.1387174640162163,0.0037469221,0.0037469220993584435
flux_internal8_left,f_sub,3668,1766,1.3359389083005617,0.0085833995,0.008583399901206773
flux_internal8_left,f_sub,3668,5383,0.945048385808491,0.010139129,0.010139129379393198
flux_internal8_left,f_sub,3668,94,1.034412297125201,0.004658819,0.00465881893482529
flux_internal8_left,f_sub,3668,3636,0.026001996057868515,0.0012742771,0.0012742771360371753
flux_internal8_left,f_sub,3668,5247,1.3061610629328528,0.01728928,0.017289281233886015
flux_internal8_left,f_sub,3668,1596,1.0568695902107519,0.003896994,0.003896994107661433
flux_internal8_left,f_sub,3668,235,0.576918956455232,0.0018282831,0.0018282830856244901
flux_internal8_left,f_sub,3668,3127,1.3198077478154835,0.014109306,0.014109306558945623
flux_internal8_left,f_sub,3668,3487,2.924643208673407,0.01735005,0.017350048979687123
flux_internal8_left,f_sub,3668,5583,0.3402028309993534,0.016055223,0.016055221974477132
flux_internal8_left,f_sub,3668,3863,0.563089268207357,0.0050375448,0.005037544803473858
flux_internal8_left,f_sub,3668,2894,0.625533477804217,0.002698621,0.002698621022889904
flux_internal8_left,f_sub,3668,3221,0.6077251934798575,0.0014421919,0.0014421918819486127
flux_internal8_left,f_sub,3668,3732,2.924568268575307,0.020114686,0.0201146860519142
flux_internal8_left,f_sub,3668,1548,1.6809049682473165,0.0009846976,0.0009846975966750064
