model,swap_block,base_idx,donor_idx,input_rel_change,output_coeff_rel_change,output_field_rel_change
flux_internal8_left,u,4898,4697,9.309395179482555,2.747903,2.747903078198077
flux_internal8_left,u,4898,4673,7.6224055243181565,1.1542091,1.1542090989162213
flux_internal8_left,u,4898,432,1.8038878586356397,0.6727086,0.6727085543557477
flux_internal8_left,u,4898,1006,2.331392261652273,1.1151597,1.1151596804830954
flux_internal8_left,u,4898,4196,2.568849097045705,0.9864895,0.9864894126846625
flux_internal8_left,u,4898,1766,2.128893330601155,0.83535254,0.835352454008956
flux_internal8_left,u,4898,5383,4.159093335211404,1.2918133,1.2918131792714314
flux_internal8_left,u,4898,94,1.4511239904692208,0.66163754,0.6616375210932323
flux_internal8_left,u,4898,3636,2.408559924880004,0.8888197,0.8888196790360018
flux_internal8_left,u,4898,5247,5.200399087975359,0.74840105,0.7484009911843906
flux_internal8_left,u,4898,1596,2.8050068201283413,2.169135,2.1691349884904434
flux_internal8_left,u,4898,235,1.2804002158774659,1.5313439,1.5313437935372538
flux_internal8_left,u,4898,3127,1.7361806793065695,1.6700518,1.6700516408465134
flux_internal8_left,u,4898,3487,2.581036877964962,1.492182,1.4921819695755794
flux_internal8_left,u,4898,5583,2.098609062378247,0.6598994,0.6598994577134113
flux_internal8_left,u,4898,3863,2.1870473588714554,0.54233545,0.5423354194501834
flux_internal8_left,u,4898,2894,0.7988444300080552,0.709765,0.7097649862042444
flux_internal8_left,u,4898,3221,1.2658846950675828,0.24932837,0.24932838444621733
flux_internal8_left,u,4898,3732,2.542537243092088,1.5006088,1.500608679090936
flux_internal8_left,u,4898,1548,0.9790362087557621,0.74882305,0.748823016280774
flux_internal8_left,u,3668,4697,6.3621577554888,48.404312,48.40431105228007
flux_internal8_left,u,3668,4673,4.792955801674787,27.140928,27.140930800078056
flux_internal8_left,u,3668,432,1.5071756628643964,4.5397525,4.539752639202876
flux_internal8_left,u,3668,1006,2.3713681275661576,2.5467021,2.546702140556354
flux_internal8_left,u,3668,4196,2.7606895241132743,0.83803654,0.8380366103495331
flux_internal8_left,u,3668,1766,2.557452862339687,1.3703219,1.3703219339722303
flux_internal8_left,u,3668,5383,2.5279621007678137,4.814415,4.814415016823201
flux_internal8_left,u,3668,94,0.553808259031473,3.409978,3.4099782979885966
flux_internal8_left,u,3668,3636,2.7716504690917128,0.70806044,0.7080604519471858
flux_internal8_left,u,3668,5247,3.023998670777877,2.2752314,2.2752313056535027
flux_internal8_left,u,3668,1596,1.659505835865086,16.379702,16.379703698178748
flux_internal8_left,u,3668,235,1.2586808710248902,7.9607844,7.960784726920009
flux_internal8_left,u,3668,3127,0.7122003208070958,9.785632,9.785632519770036
flux_internal8_left,u,3668,3487,2.6313986851105624,7.484593,7.484593440278937
flux_internal8_left,u,3668,5583,2.5732058015481627,3.4663363,3.46633639825437
flux_internal8_left,u,3668,3863,2.4138890674684332,4.9729548,4.972954949178527
flux_internal8_left,u,3668,2894,1.0838009678331764,2.856128,2.8561283468684153
flux_internal8_left,u,3668,3221,1.193826109709921,15.249705,15.249705073683728
flux_internal8_left,u,3668,3732,2.6553143346968517,7.592687,7.592687038755594
flux_internal8_left,u,3668,1548,1.7787533376848839,3.336662,3.336662149199579
