model,swap_block,base_idx,donor_idx,input_rel_change,output_coeff_rel_change,output_field_rel_change
flux_internal8_top,u,4898,4697,9.309395179482555,2.5433812,2.543381291872668
flux_internal8_top,u,4898,4673,7.6224055243181565,1.040738,1.040737905063533
flux_internal8_top,u,4898,432,1.8038878586356397,1.0117027,1.011702612595963
flux_internal8_top,u,4898,1006,2.331392261652273,1.111772,1.111771845362309
flux_internal8_top,u,4898,4196,2.568849097045705,0.9851053,0.9851052109605312
flux_internal8_top,u,4898,1766,2.128893330601155,0.8846591,0.8846590314775287
flux_internal8_top,u,4898,5383,4.159093335211404,1.2179766,1.2179764388464318
flux_internal8_top,u,4898,94,1.4511239904692208,0.6239392,0.6239392538686381
flux_internal8_top,u,4898,3636,2.408559924880004,0.8308802,0.8308802005481245
flux_internal8_top,u,4898,5247,5.200399087975359,0.8640353,0.864035296580424
flux_internal8_top,u,4898,1596,2.8050068201283413,2.0556345,2.0556344830818025
flux_internal8_top,u,4898,235,1.2804002158774659,1.5163121,1.5163121350469193
flux_internal8_top,u,4898,3127,1.7361806793065695,1.7465917,1.7465917365103907
flux_internal8_top,u,4898,3487,2.581036877964962,1.4679906,1.4679905058567402
flux_internal8_top,u,4898,5583,2.098609062378247,0.60744345,0.607443407152144
flux_internal8_top,u,4898,3863,2.1870473588714554,0.6462611,0.6462610515975714
flux_internal8_top,u,4898,2894,0.7988444300080552,0.6705663,0.6705663052706257
flux_internal8_top,u,4898,3221,1.2658846950675828,0.07731166,0.07731165562612892
flux_internal8_top,u,4898,3732,2.542537243092088,1.4606153,1.4606152882131804
flux_internal8_top,u,4898,1548,0.9790362087557621,0.8525322,0.852532181808068
flux_internal8_top,u,3668,4697,6.3621577554888,26.825533,26.825531848303715
flux_internal8_top,u,3668,4673,4.792955801674787,15.656008,15.656006702290773
flux_internal8_top,u,3668,432,1.5071756628643964,1.0219408,1.0219408583226637
flux_internal8_top,u,3668,1006,2.3713681275661576,0.1829508,0.18295079110437848
flux_internal8_top,u,3668,4196,2.7606895241132743,1.1068473,1.1068472388009625
flux_internal8_top,u,3668,1766,2.557452862339687,1.8524586,1.8524585413488879
flux_internal8_top,u,3668,5383,2.5279621007678137,0.6215188,0.6215187997951167
flux_internal8_top,u,3668,94,0.553808259031473,3.7303092,3.730309392552232
flux_internal8_top,u,3668,3636,2.7716504690917128,2.2352562,2.2352562023928857
flux_internal8_top,u,3668,5247,3.023998670777877,1.9688058,1.9688056425086884
flux_internal8_top,u,3668,1596,1.659505835865086,6.6995525,6.699552594895412
flux_internal8_top,u,3668,235,1.2586808710248902,2.803796,2.8037960473280674
flux_internal8_top,u,3668,3127,0.7122003208070958,4.4822903,4.4822904072015
flux_internal8_top,u,3668,3487,2.6313986851105624,2.482904,2.4829040075047186
flux_internal8_top,u,3668,5583,2.5732058015481627,3.8578637,3.8578636024898327
flux_internal8_top,u,3668,3863,2.4138890674684332,3.5619617,3.561961571417108
flux_internal8_top,u,3668,2894,1.0838009678331764,3.396542,3.3965420918282914
flux_internal8_top,u,3668,3221,1.193826109709921,8.8341465,8.834145702601278
flux_internal8_top,u,3668,3732,2.6553143346968517,2.4256964,2.425696365019568
flux_internal8_top,u,3668,1548,1.7787533376848839,2.2148962,2.2148961263597324
