model,swap_block,base_idx,donor_idx,input_rel_change,output_coeff_rel_change,output_field_rel_change
flux_internal8modified_bottom,u,4898,4697,9.309395179482555,2.4069057,2.40690580506214
flux_internal8modified_bottom,u,4898,4673,7.6224055243181565,0.1790584,0.17905839653644046
flux_internal8modified_bottom,u,4898,432,1.8038878586356397,1.9392217,1.9392217166989671
flux_internal8modified_bottom,u,4898,1006,2.331392261652273,1.2976159,1.2976160477866394
flux_internal8modified_bottom,u,4898,4196,2.568849097045705,1.0368104,1.036810407151639
flux_internal8modified_bottom,u,4898,1766,2.128893330601155,0.91029793,0.9102979118818716
flux_internal8modified_bottom,u,4898,5383,4.159093335211404,1.880096,1.8800961742666482
flux_internal8modified_bottom,u,4898,94,1.4511239904692208,0.9513005,0.9513005142863831
flux_internal8modified_bottom,u,4898,3636,2.408559924880004,1.0130728,1.0130729283283724
flux_internal8modified_bottom,u,4898,5247,5.200399087975359,1.466181,1.4661811082393341
flux_internal8modified_bottom,u,4898,1596,2.8050068201283413,2.773288,2.7732882531522023
flux_internal8modified_bottom,u,4898,235,1.2804002158774659,1.6767015,1.6767016678622804
flux_internal8modified_bottom,u,4898,3127,1.7361806793065695,2.1016595,2.101659557645012
flux_internal8modified_bottom,u,4898,3487,2.581036877964962,1.4599745,1.4599746258166164
flux_internal8modified_bottom,u,4898,5583,2.098609062378247,0.62877834,0.6287784104190303
flux_internal8modified_bottom,u,4898,3863,2.1870473588714554,0.55096036,0.5509603399036505
flux_internal8modified_bottom,u,4898,2894,0.7988444300080552,0.9038091,0.9038091110836588
flux_internal8modified_bottom,u,4898,3221,1.2658846950675828,0.43074542,0.4307454248515327
flux_internal8modified_bottom,u,4898,3732,2.542537243092088,1.455527,1.4555270590463927
flux_internal8modified_bottom,u,4898,1548,0.9790362087557621,1.3864696,1.38646963528075
flux_internal8modified_bottom,u,3668,4697,6.3621577554888,7.0613666,7.061367014224805
flux_internal8modified_bottom,u,3668,4673,4.792955801674787,2.8291383,2.829138255505447
flux_internal8modified_bottom,u,3668,432,1.5071756628643964,0.70060354,0.7006035850669783
flux_internal8modified_bottom,u,3668,1006,2.3713681275661576,0.486199,0.4861990252145745
flux_internal8modified_bottom,u,3668,4196,2.7606895241132743,0.94582415,0.9458242195387887
flux_internal8modified_bottom,u,3668,1766,2.557452862339687,1.1717536,1.1717537756378984
flux_internal8modified_bottom,u,3668,5383,2.5279621007678137,0.547661,0.5476610310580868
flux_internal8modified_bottom,u,3668,94,0.553808259031473,1.0957391,1.0957392407165965
flux_internal8modified_bottom,u,3668,3636,2.7716504690917128,0.9936872,0.9936873042329771
flux_internal8modified_bottom,u,3668,5247,3.023998670777877,0.18617935,0.18617937284483646
flux_internal8modified_bottom,u,3668,1596,1.659505835865086,2.134217,2.1342171302775816
flux_internal8modified_bottom,u,3668,235,1.2586808710248902,0.18786614,0.18786614692907488
flux_internal8modified_bottom,u,3668,3127,0.7122003208070958,0.93992025,0.9399203151754709
flux_internal8modified_bottom,u,3668,3487,2.6313986851105624,0.20760284,0.20760286049373608
flux_internal8modified_bottom,u,3668,5583,2.5732058015481627,1.6659977,1.6659976683215583
flux_internal8modified_bottom,u,3668,3863,2.4138890674684332,1.8019941,1.8019943409387866
flux_internal8modified_bottom,u,3668,2894,1.0838009678331764,1.18167,1.181670043754557
flux_internal8modified_bottom,u,3668,3221,1.193826109709921,3.533202,3.5332021879163085
flux_internal8modified_bottom,u,3668,3732,2.6553143346968517,0.21734582,0.21734582821123108
flux_internal8modified_bottom,u,3668,1548,1.7787533376848839,0.44392616,0.44392621615935607
