model,swap_block,base_idx,donor_idx,input_rel_change,output_coeff_rel_change,output_field_rel_change
flux_internal8modified_left,u,4898,4697,9.309395179482555,2.6414673,2.6414674698380716
flux_internal8modified_left,u,4898,4673,7.6224055243181565,1.1676496,1.1676495621107157
flux_internal8modified_left,u,4898,432,1.8038878586356397,0.69435054,0.6943504792757651
flux_internal8modified_left,u,4898,1006,2.331392261652273,1.1086377,1.1086376155961806
flux_internal8modified_left,u,4898,4196,2.568849097045705,0.9746994,0.9746993051687455
flux_internal8modified_left,u,4898,1766,2.128893330601155,0.7995948,0.7995947684440462
flux_internal8modified_left,u,4898,5383,4.159093335211404,1.2777475,1.277747525160458
flux_internal8modified_left,u,4898,94,1.4511239904692208,0.6634522,0.6634521030639439
flux_internal8modified_left,u,4898,3636,2.408559924880004,0.8865377,0.8865375541581045
flux_internal8modified_left,u,4898,5247,5.200399087975359,0.73946434,0.7394642937084566
flux_internal8modified_left,u,4898,1596,2.8050068201283413,2.157038,2.1570378444826397
flux_internal8modified_left,u,4898,235,1.2804002158774659,1.5295334,1.5295333941104294
flux_internal8modified_left,u,4898,3127,1.7361806793065695,1.623622,1.6236219019544957
flux_internal8modified_left,u,4898,3487,2.581036877964962,1.4752514,1.4752513332294894
flux_internal8modified_left,u,4898,5583,2.098609062378247,0.65506613,0.655066103461897
flux_internal8modified_left,u,4898,3863,2.1870473588714554,0.5257507,0.5257506770907747
flux_internal8modified_left,u,4898,2894,0.7988444300080552,0.7138899,0.7138898922164642
flux_internal8modified_left,u,4898,3221,1.2658846950675828,0.23268352,0.23268351581184932
flux_internal8modified_left,u,4898,3732,2.542537243092088,1.4797373,1.4797372338463024
flux_internal8modified_left,u,4898,1548,0.9790362087557621,0.7490674,0.7490674269787807
flux_internal8modified_left,u,3668,4697,6.3621577554888,28.548716,28.5487159910014
flux_internal8modified_left,u,3668,4673,4.792955801674787,16.465563,16.465563548773105
flux_internal8modified_left,u,3668,432,1.5071756628643964,2.2987804,2.298780447550095
flux_internal8modified_left,u,3668,1006,2.3713681275661576,1.9293598,1.9293598105745557
flux_internal8modified_left,u,3668,4196,2.7606895241132743,0.8375155,0.8375154730982798
flux_internal8modified_left,u,3668,1766,2.557452862339687,0.6982878,0.6982877683075964
flux_internal8modified_left,u,3668,5383,2.5279621007678137,3.2277253,3.2277256284674234
flux_internal8modified_left,u,3668,94,0.553808259031473,1.6766561,1.6766562534979836
flux_internal8modified_left,u,3668,3636,2.7716504690917128,0.28912267,0.2891226851046563
flux_internal8modified_left,u,3668,5247,3.023998670777877,1.0819613,1.0819612877571192
flux_internal8modified_left,u,3668,1596,1.659505835865086,10.341346,10.341346712618602
flux_internal8modified_left,u,3668,235,1.2586808710248902,5.287782,5.287781845600748
flux_internal8modified_left,u,3668,3127,0.7122003208070958,6.0224066,6.022407063817486
flux_internal8modified_left,u,3668,3487,2.6313986851105624,4.8716125,4.871612730989586
flux_internal8modified_left,u,3668,5583,2.5732058015481627,1.7475142,1.7475142226349603
flux_internal8modified_left,u,3668,3863,2.4138890674684332,2.778601,2.778601149565068
flux_internal8modified_left,u,3668,2894,1.0838009678331764,1.2988144,1.298814393439418
flux_internal8modified_left,u,3668,3221,1.193826109709921,8.870955,8.87095575661437
flux_internal8modified_left,u,3668,3732,2.6553143346968517,4.9046016,4.904601346226654
flux_internal8modified_left,u,3668,1548,1.7787533376848839,1.680952,1.6809520845885706
