model,swap_block,base_idx,donor_idx,input_rel_change,output_coeff_rel_change,output_field_rel_change
flux_internal8modified_right,u,4898,4697,9.309395179482555,1.997803,1.997803075660174
flux_internal8modified_right,u,4898,4673,7.6224055243181565,0.41165733,0.4116572988008663
flux_internal8modified_right,u,4898,432,1.8038878586356397,1.9408498,1.9408495860348
flux_internal8modified_right,u,4898,1006,2.331392261652273,1.2696596,1.2696595870077798
flux_internal8modified_right,u,4898,4196,2.568849097045705,1.0170581,1.017058160983403
flux_internal8modified_right,u,4898,1766,2.128893330601155,1.0101669,1.010166767527467
flux_internal8modified_right,u,4898,5383,4.159093335211404,1.8221604,1.8221602639869439
flux_internal8modified_right,u,4898,94,1.4511239904692208,0.9214845,0.9214844193671664
flux_internal8modified_right,u,4898,3636,2.408559924880004,0.9041184,0.9041183094411248
flux_internal8modified_right,u,4898,5247,5.200399087975359,1.607119,1.607118881422583
flux_internal8modified_right,u,4898,1596,2.8050068201283413,2.5178802,2.5178800959835677
flux_internal8modified_right,u,4898,235,1.2804002158774659,1.6457127,1.6457125081404813
flux_internal8modified_right,u,4898,3127,1.7361806793065695,2.1834986,2.183498618334474
flux_internal8modified_right,u,4898,3487,2.581036877964962,1.406929,1.4069291358959275
flux_internal8modified_right,u,4898,5583,2.098609062378247,0.5555379,0.5555378535799026
flux_internal8modified_right,u,4898,3863,2.1870473588714554,0.6237607,0.6237607160522162
flux_internal8modified_right,u,4898,2894,0.7988444300080552,0.8855088,0.8855087883822854
flux_internal8modified_right,u,4898,3221,1.2658846950675828,0.20769311,0.20769311743696164
flux_internal8modified_right,u,4898,3732,2.542537243092088,1.4037176,1.4037174772465586
flux_internal8modified_right,u,4898,1548,0.9790362087557621,1.4009582,1.4009581631400994
flux_internal8modified_right,u,3668,4697,6.3621577554888,4.4703317,4.470331611525568
flux_internal8modified_right,u,3668,4673,4.792955801674787,1.8449483,1.844948236554121
flux_internal8modified_right,u,3668,432,1.5071756628643964,0.09188461,0.09188461114125979
flux_internal8modified_right,u,3668,1006,2.3713681275661576,0.680092,0.6800919570612125
flux_internal8modified_right,u,3668,4196,2.7606895241132743,0.97106063,0.9710605816582354
flux_internal8modified_right,u,3668,1766,2.557452862339687,0.976359,0.9763590202598156
flux_internal8modified_right,u,3668,5383,2.5279621007678137,0.079330325,0.07933032269671597
flux_internal8modified_right,u,3668,94,0.553808259031473,1.0844079,1.0844078769887842
flux_internal8modified_right,u,3668,3636,2.7716504690917128,1.1005436,1.1005436531569501
flux_internal8modified_right,u,3668,5247,3.023998670777877,0.2975838,0.2975837668275486
flux_internal8modified_right,u,3668,1596,1.659505835865086,0.7674752,0.767475133693513
flux_internal8modified_right,u,3668,235,1.2586808710248902,0.26591504,0.26591502090038216
flux_internal8modified_right,u,3668,3127,0.7122003208070958,0.39623135,0.3962313392932627
flux_internal8modified_right,u,3668,3487,2.6313986851105624,0.5345871,0.5345870702352183
flux_internal8modified_right,u,3668,5583,2.5732058015481627,1.5008186,1.5008184873518056
flux_internal8modified_right,u,3668,3863,2.4138890674684332,1.4215544,1.421554397470259
flux_internal8modified_right,u,3668,2894,1.0838009678331764,1.1244432,1.1244431835336892
flux_internal8modified_right,u,3668,3221,1.193826109709921,2.383581,2.383580861167639
flux_internal8modified_right,u,3668,3732,2.6553143346968517,0.53826505,0.5382650281607075
flux_internal8modified_right,u,3668,1548,1.7787533376848839,0.53497005,0.5349700346426073
