model,swap_block,base_idx,donor_idx,input_rel_change,output_coeff_rel_change,output_field_rel_change
solution_boundary8modified,u,3809,3653,1.257686662290389,8.390909,4.922299586974982
solution_boundary8modified,u,3809,3632,1.4080220909536683,2.5262296,1.4819441143117296
solution_boundary8modified,u,3809,335,1.4080186112677893,2.2417903,1.315085528516587
solution_boundary8modified,u,3809,782,1.4224131590688822,1.556092,0.912839190900617
solution_boundary8modified,u,3809,3262,1.1643353388699993,1.4361027,0.8424507200984571
solution_boundary8modified,u,3809,1372,0.8225641278321445,1.5807425,0.9272995701397246
solution_boundary8modified,u,3809,4186,1.1545650614567828,2.959482,1.7360996240622155
solution_boundary8modified,u,3809,73,1.1485149253352582,2.1444302,1.25797168227504
solution_boundary8modified,u,3809,2827,1.408448296610703,2.0624726,1.2098935655449172
solution_boundary8modified,u,3809,4079,1.1481796001403708,2.7132196,1.591636508843071
solution_boundary8modified,u,3809,1241,1.1560807530998127,2.6682522,1.5652577590903176
solution_boundary8modified,u,3809,182,1.1546087870650383,1.1194959,0.656721844183795
solution_boundary8modified,u,3809,2431,1.4080320152501036,3.3024,1.937263347677315
solution_boundary8modified,u,3809,2711,1.4203117882841447,1.5445396,0.9060621730308306
solution_boundary8modified,u,3809,4341,0.09889225857781697,1.334637,0.7829285924803134
solution_boundary8modified,u,3809,3005,1.1564657188688217,1.3267647,0.7783104860509901
solution_boundary8modified,u,3809,2250,1.1578338200647955,0.9802287,0.5750245588219453
solution_boundary8modified,u,3809,2505,1.1500968362924615,1.8291858,1.0730422377436029
solution_boundary8modified,u,3809,2901,1.150740597190051,1.4352818,0.8419690419564472
solution_boundary8modified,u,3809,1202,1.4119511118829442,2.1115422,1.2386788411798741
solution_boundary8modified,u,2853,3653,1.2414546505742636,7.056738,3.7537672934452675
solution_boundary8modified,u,2853,3632,0.8241615593570485,1.5905987,0.8461044738636248
solution_boundary8modified,u,2853,335,0.8189919361181501,0.6728214,0.357901168266897
solution_boundary8modified,u,2853,782,0.10211732835129457,1.2486321,0.6641984280886574
solution_boundary8modified,u,2853,3262,1.1613223634572156,1.7042176,0.9065428831547284
solution_boundary8modified,u,2853,1372,1.4199701816196755,1.8489637,0.9835392947813067
solution_boundary8modified,u,2853,4186,1.1546145359698143,2.9100528,1.5479759771218287
solution_boundary8modified,u,2853,73,1.1533412319295224,1.423111,0.7570108733158372
solution_boundary8modified,u,2853,2827,0.8183553853255099,0.6144604,0.32685659305899756
solution_boundary8modified,u,2853,4079,1.1547007787186858,1.6992928,0.9039232241996109
solution_boundary8modified,u,2853,1241,1.1521595775159916,2.2393305,1.1911913423108205
solution_boundary8modified,u,2853,182,1.1535685363472823,1.4218334,0.7563312274525581
solution_boundary8modified,u,2853,2431,0.10935530457701968,1.5134635,0.8050730735529349
solution_boundary8modified,u,2853,2711,0.09648464570379821,1.1384422,0.6055838772470847
solution_boundary8modified,u,2853,4341,1.428498019340372,1.7804838,0.9471120316584574
solution_boundary8modified,u,2853,3005,1.1643368617910972,1.4810969,0.7878559373825788
solution_boundary8modified,u,2853,2250,1.15406683244496,1.5261232,0.8118072642884051
solution_boundary8modified,u,2853,2505,1.1528443783699978,1.4027691,0.746190110029897
solution_boundary8modified,u,2853,2901,1.1606376020699498,1.0663137,0.5672158428587077
solution_boundary8modified,u,2853,1202,0.015606882240857484,0.07633922,0.0406079512811548
